#: table_doi: 10.17182/hepdata.90831.v1/t380
#: name: table no 380
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_380.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.7551,0.0074,-0.0074,0.0242,-0.0242,0.003,-0.003
0.6000000000000001,0.55,0.65,1.3,0.01,-0.01,0.02,-0.02,0,0
0.7,0.65,0.75,1.061,0.009,-0.009,0.014,-0.014,0.003,-0.003
0.8,0.75,0.85,0.8829,0.0081,-0.0081,0.0092,-0.0092,0.0024,-0.0024
0.8999999999999999,0.85,0.95,0.7467,0.0072,-0.0072,0.0048,-0.0048,0.0021,-0.0021
1.0,0.95,1.05,0.6095,0.0074,-0.0074,0.0038,-0.0038,0.0022,-0.0022
1.1,1.05,1.15,0.509,0.007,-0.007,0.003,-0.003,0.002,-0.002
1.2,1.15,1.25,0.4382,0.0071,-0.0071,0.0027,-0.0027,0.002,-0.002
1.3,1.25,1.35,0.3631,0.0064,-0.0064,0.0046,-0.0046,0.0019,-0.0019
1.4,1.35,1.45,0.3256,0.0061,-0.0061,0.0022,-0.0022,0.0023,-0.0023
1.5,1.45,1.55,0.279,0.006,-0.006,0.006,-0.006,0.004,-0.004
1.6,1.55,1.65,0.2486,0.0055,-0.0055,0.0024,-0.0024,0.003,-0.003
1.7,1.65,1.75,0.209,0.005,-0.005,0.002,-0.002,0.003,-0.003
1.8,1.75,1.85,0.1753,0.0049,-0.0049,0.0041,-0.0041,0.0017,-0.0017
1.9,1.85,1.95,0.159,0.0048,-0.0048,0.0025,-0.0025,0.0019,-0.0019
2.0,1.95,2.05,0.1423,0.0041,-0.0041,0.0022,-0.0022,0.0014,-0.0014
2.0999999999999996,2.05,2.15,0.117,0.004,-0.004,0.002,-0.002,0.001,-0.001
2.2,2.15,2.25,0.113,0.004,-0.004,0.001,-0.001,0.001,-0.001
2.3,2.25,2.35,0.0949,0.0035,-0.0035,0.0038,-0.0038,0.0012,-0.0012
2.4000000000000004,2.35,2.45,0.0878,0.0033,-0.0033,0.0027,-0.0027,0.0011,-0.0011
2.5,2.45,2.55,0.068,0.0029,-0.0029,0.0009,-0.0009,0.0011,-0.0011
2.5999999999999996,2.55,2.65,0.0685,0.0031,-0.0031,0.0023,-0.0023,0.001,-0.001
2.7,2.65,2.75,0.071,0.003,-0.003,0.002,-0.002,0.001,-0.001
2.8,2.75,2.85,0.0585,0.0026,-0.0026,0.0018,-0.0018,0.0011,-0.0011
2.9000000000000004,2.85,2.95,0.0571,0.0025,-0.0025,0.0026,-0.0026,0.0009,-0.0009
3.0,2.95,3.05,0.0535,0.0025,-0.0025,0.0007,-0.0007,0.001,-0.001
3.0999999999999996,3.05,3.15,0.0485,0.0023,-0.0023,0.0003,-0.0003,0.0009,-0.0009
3.2,3.15,3.25,0.0425,0.0022,-0.0022,0.0015,-0.0015,0.0009,-0.0009
3.3,3.25,3.35,0.0392,0.0023,-0.0023,0.0011,-0.0011,0.0009,-0.0009
3.4000000000000004,3.35,3.45,0.0358,0.0022,-0.0022,0.0016,-0.0016,0.001,-0.001
3.5,3.45,3.55,0.0303,0.0017,-0.0017,0.0003,-0.0003,0.0012,-0.0012
3.5999999999999996,3.55,3.65,0.0307,0.0018,-0.0018,0.0003,-0.0003,0.0014,-0.0014
3.7,3.65,3.75,0.0303,0.0018,-0.0018,0.0014,-0.0014,0.0012,-0.0012
3.8,3.75,3.85,0.0271,0.0016,-0.0016,0.0006,-0.0006,0.0009,-0.0009
3.9000000000000004,3.85,3.95,0.0253,0.0014,-0.0014,0.0013,-0.0013,0.0007,-0.0007
4.0,3.95,4.05,0.0234,0.0014,-0.0014,0.0011,-0.0011,0.0008,-0.0008
4.1,4.05,4.15,0.0211,0.0013,-0.0013,0.0004,-0.0004,0.0008,-0.0008
4.2,4.15,4.25,0.0204,0.0013,-0.0013,0.0007,-0.0007,0.0007,-0.0007
4.3,4.25,4.35,0.018,0.0012,-0.0012,0.0013,-0.0013,0.0007,-0.0007
4.4,4.35,4.45,0.0175,0.0012,-0.0012,0.0003,-0.0003,0.0006,-0.0006
4.5,4.45,4.55,0.0177,0.0013,-0.0013,0.0004,-0.0004,0.0007,-0.0007
4.6,4.55,4.65,0.0201,0.0013,-0.0013,0.0005,-0.0005,0.0006,-0.0006
4.7,4.65,4.75,0.0161,0.0014,-0.0014,0.0013,-0.0013,0.0007,-0.0007
4.8,4.75,4.85,0.0145,0.0012,-0.0012,0.0008,-0.0008,0.0008,-0.0008
4.9,4.85,4.95,0.0157,0.0012,-0.0012,0.0006,-0.0006,0.0006,-0.0006
5.0,4.95,5.05,0.015,0.0011,-0.0011,0.0005,-0.0005,0.0004,-0.0004
5.1,5.05,5.15,0.0139,0.0011,-0.0011,0.0006,-0.0006,0.0004,-0.0004
5.2,5.15,5.25,0.0144,0.0011,-0.0011,0.0004,-0.0004,0.0005,-0.0005
5.3,5.25,5.35,0.0137,0.0012,-0.0012,0.0008,-0.0008,0.0005,-0.0005
5.4,5.35,5.45,0.00851,0.00089,-0.00089,0.00026,-0.00026,0.00042,-0.00042

