#: table_doi: 10.17182/hepdata.90831.v1/t383
#: name: table no 383
#: description: Figure 06b,  ptSpec transmin_zptregion2 high thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_383.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,1.0364,0.0048,-0.0048,0.0483,-0.0483,0.0022,-0.0022
0.6000000000000001,0.55,0.65,1.7188,0.0059,-0.0059,0.0346,-0.0346,0.0024,-0.0024
0.7,0.65,0.75,1.3389,0.0056,-0.0056,0.0204,-0.0204,0.0031,-0.0031
0.8,0.75,0.85,1.0648,0.0053,-0.0053,0.0102,-0.0102,0.0032,-0.0032
0.8999999999999999,0.85,0.95,0.836,0.005,-0.005,0.01,-0.01,0.003,-0.003
1.0,0.95,1.05,0.6776,0.0046,-0.0046,0.0155,-0.0155,0.0022,-0.0022
1.1,1.05,1.15,0.5372,0.0042,-0.0042,0.0075,-0.0075,0.0021,-0.0021
1.2,1.15,1.25,0.4406,0.0037,-0.0037,0.0091,-0.0091,0.0021,-0.0021
1.3,1.25,1.35,0.3522,0.0036,-0.0036,0.0067,-0.0067,0.0022,-0.0022
1.4,1.35,1.45,0.2936,0.0033,-0.0033,0.01,-0.01,0.0021,-0.0021
1.5,1.45,1.55,0.242,0.003,-0.003,0.006,-0.006,0.002,-0.002
1.6,1.55,1.65,0.1994,0.0028,-0.0028,0.007,-0.007,0.0012,-0.0012
1.7,1.65,1.75,0.1668,0.0026,-0.0026,0.0069,-0.0069,0.0013,-0.0013
1.8,1.75,1.85,0.1447,0.0025,-0.0025,0.0089,-0.0089,0.0015,-0.0015
1.9,1.85,1.95,0.1174,0.0022,-0.0022,0.0017,-0.0017,0.0016,-0.0016
2.0,1.95,2.05,0.098,0.002,-0.002,0.004,-0.004,0.001,-0.001
2.0999999999999996,2.05,2.15,0.085,0.002,-0.002,0.004,-0.004,0.001,-0.001
2.2,2.15,2.25,0.0759,0.0018,-0.0018,0.0008,-0.0008,0.0009,-0.0009
2.3,2.25,2.35,0.0607,0.0015,-0.0015,0.0034,-0.0034,0.0011,-0.0011
2.4000000000000004,2.35,2.45,0.0532,0.0015,-0.0015,0.002,-0.002,0.0011,-0.0011
2.5,2.45,2.55,0.0468,0.0014,-0.0014,0.0038,-0.0038,0.0009,-0.0009
2.5999999999999996,2.55,2.65,0.0416,0.0013,-0.0013,0.0017,-0.0017,0.0007,-0.0007
2.7,2.65,2.75,0.0352,0.0012,-0.0012,0.0006,-0.0006,0.0007,-0.0007
2.8,2.75,2.85,0.0317,0.0011,-0.0011,0.0018,-0.0018,0.0007,-0.0007
2.9000000000000004,2.85,2.95,0.02756,0.00099,-0.00099,0.00046,-0.00046,0.00057,-0.00057
3.0,2.95,3.05,0.0219,0.0009,-0.0009,0.0009,-0.0009,0.0007,-0.0007
3.0999999999999996,3.05,3.15,0.0213,0.0008,-0.0008,0.0007,-0.0007,0.0006,-0.0006
3.2,3.15,3.25,0.0197,0.00082,-0.00082,0.00023,-0.00023,0.00056,-0.00056
3.3,3.25,3.35,0.01557,0.00073,-0.00073,0.00096,-0.00096,0.0005,-0.0005
3.4000000000000004,3.35,3.45,0.01633,0.00073,-0.00073,0.00062,-0.00062,0.00046,-0.00046
3.5,3.45,3.55,0.01374,0.00068,-0.00068,0.00037,-0.00037,0.00047,-0.00047
3.5999999999999996,3.55,3.65,0.0108,0.0006,-0.0006,0.0001,-0.0001,0.0004,-0.0004
3.7,3.65,3.75,0.0105,0.00067,-0.00067,0.00108,-0.00108,0.00049,-0.00049
3.8,3.75,3.85,0.00948,0.00058,-0.00058,0.00068,-0.00068,0.00056,-0.00056
3.9000000000000004,3.85,3.95,0.0096,0.0006,-0.0006,0.0001,-0.0001,0.0006,-0.0006
4.0,3.95,4.05,0.00836,0.00051,-0.00051,0.00084,-0.00084,0.00057,-0.00057
4.1,4.05,4.15,0.00725,0.00046,-0.00046,0.0007,-0.0007,0.00053,-0.00053
4.2,4.15,4.25,0.00598,0.00042,-0.00042,0.00024,-0.00024,0.00037,-0.00037
4.3,4.25,4.35,0.00674,0.00046,-0.00046,0.00016,-0.00016,0.00028,-0.00028
4.4,4.35,4.45,0.00581,0.00039,-0.00039,5e-05,-5e-05,0.00026,-0.00026
4.5,4.45,4.55,0.00583,0.00035,-0.00035,9e-05,-9e-05,0.00028,-0.00028
4.6,4.55,4.65,0.0064,0.0005,-0.0005,0.0002,-0.0002,0.0003,-0.0003
4.7,4.65,4.75,0.00441,0.00033,-0.00033,0.0002,-0.0002,0.00033,-0.00033
4.8,4.75,4.85,0.0045,0.00039,-0.00039,5e-05,-5e-05,0.00031,-0.00031
4.9,4.85,4.95,0.00375,0.00037,-0.00037,5e-05,-5e-05,0.00027,-0.00027
5.0,4.95,5.05,0.00289,0.00032,-0.00032,8e-05,-8e-05,0.00032,-0.00032
5.1,5.05,5.15,0.00345,0.00025,-0.00025,4e-05,-4e-05,0.00032,-0.00032
5.2,5.15,5.25,0.00293,0.00023,-0.00023,0.00013,-0.00013,0.00041,-0.00041
5.3,5.25,5.35,0.00361,0.00033,-0.00033,6e-05,-6e-05,0.00036,-0.00036
