#: table_doi: 10.17182/hepdata.90831.v1/t387
#: name: table no 387
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_387.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.93,0.01,-0.01,0.03,-0.03,0.01,-0.01
0.6000000000000001,0.55,0.65,1.554,0.013,-0.013,0.039,-0.039,0.005,-0.005
0.7,0.65,0.75,1.274,0.012,-0.012,0.015,-0.015,0.007,-0.007
0.8,0.75,0.85,1.017,0.011,-0.011,0.008,-0.008,0.006,-0.006
0.8999999999999999,0.85,0.95,0.83,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.0,0.95,1.05,0.6463,0.0096,-0.0096,0.0066,-0.0066,0.0028,-0.0028
1.1,1.05,1.15,0.534,0.009,-0.009,0.006,-0.006,0.003,-0.003
1.2,1.15,1.25,0.4413,0.0081,-0.0081,0.0053,-0.0053,0.0026,-0.0026
1.3,1.25,1.35,0.3764,0.0078,-0.0078,0.0118,-0.0118,0.0025,-0.0025
1.4,1.35,1.45,0.33,0.007,-0.007,0.003,-0.003,0.002,-0.002
1.5,1.45,1.55,0.2542,0.0068,-0.0068,0.0078,-0.0078,0.003,-0.003
1.6,1.55,1.65,0.2151,0.0066,-0.0066,0.0074,-0.0074,0.0026,-0.0026
1.7,1.65,1.75,0.1875,0.0064,-0.0064,0.0041,-0.0041,0.0028,-0.0028
1.8,1.75,1.85,0.1649,0.0059,-0.0059,0.0024,-0.0024,0.0019,-0.0019
1.9,1.85,1.95,0.1276,0.0048,-0.0048,0.0083,-0.0083,0.0023,-0.0023
2.0,1.95,2.05,0.124,0.005,-0.005,0.002,-0.002,0.002,-0.002
2.0999999999999996,2.05,2.15,0.0922,0.0045,-0.0045,0.0054,-0.0054,0.0023,-0.0023
2.2,2.15,2.25,0.081,0.0037,-0.0037,0.0046,-0.0046,0.0026,-0.0026
2.3,2.25,2.35,0.0762,0.0041,-0.0041,0.0012,-0.0012,0.0021,-0.0021
2.4000000000000004,2.35,2.45,0.0563,0.0034,-0.0034,0.0022,-0.0022,0.002,-0.002
2.5,2.45,2.55,0.0537,0.0034,-0.0034,0.0005,-0.0005,0.0012,-0.0012
2.5999999999999996,2.55,2.65,0.0442,0.0029,-0.0029,0.0039,-0.0039,0.0014,-0.0014
2.7,2.65,2.75,0.0504,0.0028,-0.0028,0.0005,-0.0005,0.0015,-0.0015
2.8,2.75,2.85,0.0416,0.0028,-0.0028,0.0039,-0.0039,0.0019,-0.0019
2.9000000000000004,2.85,2.95,0.0334,0.0025,-0.0025,0.0018,-0.0018,0.0017,-0.0017
