#: table_doi: 10.17182/hepdata.90831.v1/t388
#: name: table no 388
#: description: Figure 06d,  ptSpec transmin_zptregion7 high thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_388.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.913,0.013,-0.013,0.03,-0.03,0.005,-0.005
0.6000000000000001,0.55,0.65,1.522,0.017,-0.017,0.024,-0.024,0.005,-0.005
0.7,0.65,0.75,1.232,0.016,-0.016,0.013,-0.013,0.005,-0.005
0.8,0.75,0.85,0.989,0.015,-0.015,0.015,-0.015,0.005,-0.005
0.8999999999999999,0.85,0.95,0.813,0.014,-0.014,0.005,-0.005,0.005,-0.005
1.0,0.95,1.05,0.668,0.013,-0.013,0.009,-0.009,0.006,-0.006
1.1,1.05,1.15,0.517,0.012,-0.012,0.004,-0.004,0.005,-0.005
1.2,1.15,1.25,0.452,0.011,-0.011,0.003,-0.003,0.005,-0.005
1.3,1.25,1.35,0.352,0.011,-0.011,0.01,-0.01,0.004,-0.004
1.4,1.35,1.45,0.32,0.01,-0.01,0,0,0,0
1.5,1.45,1.55,0.2518,0.0099,-0.0099,0.0111,-0.0111,0.0041,-0.0041
1.6,1.55,1.65,0.2345,0.0088,-0.0088,0.0041,-0.0041,0.0035,-0.0035
1.7,1.65,1.75,0.19,0.0084,-0.0084,0.0043,-0.0043,0.0036,-0.0036
1.8,1.75,1.85,0.1642,0.0075,-0.0075,0.0072,-0.0072,0.0034,-0.0034
1.9,1.85,1.95,0.1498,0.0073,-0.0073,0.0011,-0.0011,0.0037,-0.0037
2.0,1.95,2.05,0.1114,0.0062,-0.0062,0.0041,-0.0041,0.0034,-0.0034
2.0999999999999996,2.05,2.15,0.1024,0.0062,-0.0062,0.001,-0.001,0.0028,-0.0028
2.2,2.15,2.25,0.0829,0.0056,-0.0056,0.0026,-0.0026,0.003,-0.003
2.3,2.25,2.35,0.0823,0.0054,-0.0054,0.0006,-0.0006,0.0025,-0.0025
2.4000000000000004,2.35,2.45,0.0707,0.0052,-0.0052,0.0033,-0.0033,0.002,-0.002
2.5,2.45,2.55,0.0541,0.0042,-0.0042,0.0015,-0.0015,0.0014,-0.0014
2.5999999999999996,2.55,2.65,0.0481,0.0042,-0.0042,0.0035,-0.0035,0.0015,-0.0015
2.7,2.65,2.75,0.0512,0.0045,-0.0045,0.0022,-0.0022,0.0018,-0.0018
2.8,2.75,2.85,0.0361,0.0038,-0.0038,0.0006,-0.0006,0.0022,-0.0022
2.9000000000000004,2.85,2.95,0.0386,0.0036,-0.0036,0.0028,-0.0028,0.0022,-0.0022
3.0,2.95,3.05,0.0379,0.0034,-0.0034,0.0009,-0.0009,0.0022,-0.0022
3.0999999999999996,3.05,3.15,0.0309,0.0026,-0.0026,0.002,-0.002,0.0017,-0.0017
3.2,3.15,3.25,0.0283,0.0025,-0.0025,0.0013,-0.0013,0.0017,-0.0017
3.3,3.25,3.35,0.0311,0.0033,-0.0033,0.0008,-0.0008,0.0017,-0.0017
3.4000000000000004,3.35,3.45,0.0186,0.0026,-0.0026,0.0007,-0.0007,0.0021,-0.0021
3.5,3.45,3.55,0.0195,0.0025,-0.0025,0.0002,-0.0002,0.0022,-0.0022
3.5999999999999996,3.55,3.65,0.0218,0.0026,-0.0026,0.0002,-0.0002,0.0016,-0.0016
3.7,3.65,3.75,0.0153,0.0024,-0.0024,0.0004,-0.0004,0.0013,-0.0013
3.8,3.75,3.85,0.0119,0.0018,-0.0018,0.0001,-0.0001,0.0012,-0.0012
3.9000000000000004,3.85,3.95,0.018,0.0026,-0.0026,0.0005,-0.0005,0.0011,-0.0011
4.0,3.95,4.05,0.0135,0.0015,-0.0015,0.0008,-0.0008,0.0011,-0.0011
4.1,4.05,4.15,0.0099,0.0012,-0.0012,0.0001,-0.0001,0.0008,-0.0008
4.2,4.15,4.25,0.0093,0.0013,-0.0013,0.0001,-0.0001,0.0012,-0.0012
4.3,4.25,4.35,0.0128,0.0021,-0.0021,0.0006,-0.0006,0.0013,-0.0013
4.4,4.35,4.45,0.0075,0.0014,-0.0014,0.0009,-0.0009,0.0018,-0.0018
4.5,4.45,4.55,0.0146,0.0029,-0.0029,0.0004,-0.0004,0.0017,-0.0017
4.6,4.55,4.65,0.0107,0.0023,-0.0023,0.0009,-0.0009,0.0016,-0.0016
4.7,4.65,4.75,0.0063,0.0016,-0.0016,0.0007,-0.0007,0.0011,-0.0011
4.8,4.75,4.85,0.0076,0.0016,-0.0016,0.0002,-0.0002,0.0009,-0.0009
4.9,4.85,4.95,0.0066,0.0012,-0.0012,0.0005,-0.0005,0.0009,-0.0009
5.0,4.95,5.05,0.0052,0.0011,-0.0011,0.0005,-0.0005,0.0009,-0.0009
5.1,5.05,5.15,0.0054,0.0011,-0.0011,0.0012,-0.0012,0.0011,-0.0011
5.2,5.15,5.25,0.009,0.0017,-0.0017,0.0003,-0.0003,0.0014,-0.0014
5.3,5.25,5.35,0.0064,0.0012,-0.0012,0.0004,-0.0004,0.0013,-0.0013
5.4,5.35,5.45,0.0046,0.0011,-0.0011,0.0001,-0.0001,0.0013,-0.0013

