#: table_doi: 10.17182/hepdata.90831.v1/t396
#: name: table no 396
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmax region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_396.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.6637,0.0083,-0.0083,0.0263,-0.0263,0.0041,-0.0041
0.6000000000000001,0.55,0.65,1.167,0.011,-0.011,0.022,-0.022,0.004,-0.004
0.7,0.65,0.75,0.96,0.01,-0.01,0.02,-0.02,0,0
0.8,0.75,0.85,0.8219,0.0099,-0.0099,0.0097,-0.0097,0.0035,-0.0035
0.8999999999999999,0.85,0.95,0.7077,0.0095,-0.0095,0.0067,-0.0067,0.0032,-0.0032
1.0,0.95,1.05,0.5755,0.0087,-0.0087,0.0069,-0.0069,0.0033,-0.0033
1.1,1.05,1.15,0.5047,0.0093,-0.0093,0.0033,-0.0033,0.0028,-0.0028
1.2,1.15,1.25,0.4301,0.0088,-0.0088,0.0029,-0.0029,0.0026,-0.0026
1.3,1.25,1.35,0.369,0.008,-0.008,0.003,-0.003,0.003,-0.003
1.4,1.35,1.45,0.3286,0.0074,-0.0074,0.0022,-0.0022,0.0039,-0.0039
1.5,1.45,1.55,0.2938,0.0072,-0.0072,0.0038,-0.0038,0.005,-0.005
1.6,1.55,1.65,0.256,0.0069,-0.0069,0.0026,-0.0026,0.0035,-0.0035
1.7,1.65,1.75,0.22,0.0069,-0.0069,0.0017,-0.0017,0.0034,-0.0034
1.8,1.75,1.85,0.182,0.006,-0.006,0.004,-0.004,0.002,-0.002
1.9,1.85,1.95,0.1642,0.0061,-0.0061,0.0051,-0.0051,0.0027,-0.0027
2.0,1.95,2.05,0.1608,0.0055,-0.0055,0.0014,-0.0014,0.0022,-0.0022
2.0999999999999996,2.05,2.15,0.1242,0.0052,-0.0052,0.0044,-0.0044,0.0023,-0.0023
2.2,2.15,2.25,0.1309,0.0049,-0.0049,0.0009,-0.0009,0.0018,-0.0018
2.3,2.25,2.35,0.1025,0.0047,-0.0047,0.007,-0.007,0.002,-0.002
2.4000000000000004,2.35,2.45,0.0976,0.0042,-0.0042,0.0033,-0.0033,0.002,-0.002
2.5,2.45,2.55,0.0763,0.0041,-0.0041,0.0015,-0.0015,0.0018,-0.0018
2.5999999999999996,2.55,2.65,0.08,0.004,-0.004,0.003,-0.003,0.002,-0.002
2.7,2.65,2.75,0.0829,0.0039,-0.0039,0.0023,-0.0023,0.0012,-0.0012
2.8,2.75,2.85,0.0707,0.0036,-0.0036,0.0031,-0.0031,0.0012,-0.0012
2.9000000000000004,2.85,2.95,0.0679,0.0035,-0.0035,0.0029,-0.0029,0.0011,-0.0011
3.0,2.95,3.05,0.0626,0.0035,-0.0035,0.0004,-0.0004,0.0012,-0.0012
3.0999999999999996,3.05,3.15,0.0588,0.0034,-0.0034,0.0004,-0.0004,0.0013,-0.0013
3.2,3.15,3.25,0.0506,0.0033,-0.0033,0.0014,-0.0014,0.0011,-0.0011
3.3,3.25,3.35,0.0447,0.0028,-0.0028,0.0027,-0.0027,0.001,-0.001
3.4000000000000004,3.35,3.45,0.0453,0.0028,-0.0028,0.0022,-0.0022,0.001,-0.001
3.5,3.45,3.55,0.0365,0.0024,-0.0024,0.0008,-0.0008,0.0012,-0.0012
3.5999999999999996,3.55,3.65,0.0363,0.0024,-0.0024,0.0008,-0.0008,0.0016,-0.0016
3.7,3.65,3.75,0.0384,0.0025,-0.0025,0.0026,-0.0026,0.0016,-0.0016
3.8,3.75,3.85,0.0353,0.0023,-0.0023,0.0012,-0.0012,0.0013,-0.0013
3.9000000000000004,3.85,3.95,0.031,0.002,-0.002,0.002,-0.002,0.001,-0.001
4.0,3.95,4.05,0.028,0.002,-0.002,0.001,-0.001,0.001,-0.001
4.1,4.05,4.15,0.0275,0.0019,-0.0019,0.0003,-0.0003,0.0011,-0.0011
4.2,4.15,4.25,0.0266,0.0018,-0.0018,0.001,-0.001,0.0009,-0.0009
4.3,4.25,4.35,0.0212,0.0015,-0.0015,0.0018,-0.0018,0.0008,-0.0008
4.4,4.35,4.45,0.0223,0.0016,-0.0016,0.0002,-0.0002,0.0008,-0.0008
4.5,4.45,4.55,0.022,0.0016,-0.0016,0.001,-0.001,0.0009,-0.0009
4.6,4.55,4.65,0.0253,0.0018,-0.0018,0.0004,-0.0004,0.0008,-0.0008
4.7,4.65,4.75,0.0218,0.0019,-0.0019,0.0019,-0.0019,0.0009,-0.0009
4.8,4.75,4.85,0.0192,0.0017,-0.0017,0.0011,-0.0011,0.0011,-0.0011
4.9,4.85,4.95,0.0205,0.0017,-0.0017,0.0009,-0.0009,0.0009,-0.0009
5.0,4.95,5.05,0.0211,0.0017,-0.0017,0.0009,-0.0009,0.0008,-0.0008
