#: table_doi: 10.17182/hepdata.90831.v1/t403
#: name: table no 403
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_403.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.5387,0.0037,-0.0037,0.0065,-0.0065,0.0036,-0.0036
0.6000000000000001,0.55,0.65,0.9293,0.0045,-0.0045,0.007,-0.007,0.0033,-0.0033
0.7,0.65,0.75,0.7842,0.0042,-0.0042,0.0059,-0.0059,0.003,-0.003
0.8,0.75,0.85,0.6769,0.0041,-0.0041,0.005,-0.005,0.0024,-0.0024
0.8999999999999999,0.85,0.95,0.572,0.004,-0.004,0.005,-0.005,0.002,-0.002
1.0,0.95,1.05,0.486,0.0035,-0.0035,0.0036,-0.0036,0.0013,-0.0013
1.1,1.05,1.15,0.4314,0.0036,-0.0036,0.0032,-0.0032,0.0009,-0.0009
1.2,1.15,1.25,0.3718,0.0036,-0.0036,0.0027,-0.0027,0.0007,-0.0007
1.3,1.25,1.35,0.328,0.0033,-0.0033,0.0024,-0.0024,0.001,-0.001
1.4,1.35,1.45,0.2976,0.0033,-0.0033,0.0023,-0.0023,0.0008,-0.0008
1.5,1.45,1.55,0.2561,0.0032,-0.0032,0.002,-0.002,0.0008,-0.0008
1.6,1.55,1.65,0.2237,0.0029,-0.0029,0.0019,-0.0019,0.0006,-0.0006
1.7,1.65,1.75,0.2133,0.0029,-0.0029,0.0025,-0.0025,0.0007,-0.0007
1.8,1.75,1.85,0.1875,0.0027,-0.0027,0.0014,-0.0014,0.0007,-0.0007
1.9,1.85,1.95,0.1709,0.0027,-0.0027,0.0014,-0.0014,0.0007,-0.0007
2.0,1.95,2.05,0.1575,0.0026,-0.0026,0.0014,-0.0014,0.0006,-0.0006
2.0999999999999996,2.05,2.15,0.1348,0.0024,-0.0024,0.0011,-0.0011,0.0006,-0.0006
2.2,2.15,2.25,0.131,0.0022,-0.0022,0.0011,-0.0011,0.0006,-0.0006
2.3,2.25,2.35,0.1177,0.0022,-0.0022,0.0015,-0.0015,0.0007,-0.0007
2.4000000000000004,2.35,2.45,0.1149,0.0022,-0.0022,0.0009,-0.0009,0.0005,-0.0005
2.5,2.45,2.55,0.106,0.0021,-0.0021,0.0009,-0.0009,0.0006,-0.0006
2.5999999999999996,2.55,2.65,0.092,0.0019,-0.0019,0.0007,-0.0007,0.0004,-0.0004
2.7,2.65,2.75,0.091,0.002,-0.002,0.001,-0.001,0,0
2.8,2.75,2.85,0.0832,0.0017,-0.0017,0.0006,-0.0006,0.0003,-0.0003
2.9000000000000004,2.85,2.95,0.0769,0.0017,-0.0017,0.0007,-0.0007,0.0005,-0.0005
3.0,2.95,3.05,0.0721,0.0016,-0.0016,0.0006,-0.0006,0.0006,-0.0006
3.0999999999999996,3.05,3.15,0.07,0.0016,-0.0016,0.0006,-0.0006,0.0006,-0.0006
3.2,3.15,3.25,0.0682,0.0014,-0.0014,0.0008,-0.0008,0.0007,-0.0007
3.3,3.25,3.35,0.0608,0.0014,-0.0014,0.0004,-0.0004,0.0007,-0.0007
3.4000000000000004,3.35,3.45,0.0582,0.0014,-0.0014,0.0005,-0.0005,0.0007,-0.0007
3.5,3.45,3.55,0.0535,0.0013,-0.0013,0.0004,-0.0004,0.0005,-0.0005
3.5999999999999996,3.55,3.65,0.0527,0.0013,-0.0013,0.0006,-0.0006,0.0004,-0.0004
3.7,3.65,3.75,0.0545,0.0013,-0.0013,0.0004,-0.0004,0.0004,-0.0004
3.8,3.75,3.85,0.0478,0.0012,-0.0012,0.0007,-0.0007,0.0005,-0.0005
3.9000000000000004,3.85,3.95,0.0472,0.0012,-0.0012,0.0008,-0.0008,0.0004,-0.0004
4.0,3.95,4.05,0.0439,0.0012,-0.0012,0.0012,-0.0012,0.0004,-0.0004
4.1,4.05,4.15,0.0428,0.0011,-0.0011,0.0005,-0.0005,0.0003,-0.0003
4.2,4.15,4.25,0.0405,0.0011,-0.0011,0.0003,-0.0003,0.0003,-0.0003
4.3,4.25,4.35,0.038,0.001,-0.001,0.001,-0.001,0,0
4.4,4.35,4.45,0.037,0.001,-0.001,0,0,0,0
4.5,4.45,4.55,0.03704,0.00096,-0.00096,0.00071,-0.00071,0.00034,-0.00034
4.6,4.55,4.65,0.03475,0.00097,-0.00097,0.00026,-0.00026,0.00046,-0.00046
4.7,4.65,4.75,0.0329,0.00092,-0.00092,0.00074,-0.00074,0.00045,-0.00045
4.8,4.75,4.85,0.03377,0.00089,-0.00089,0.00041,-0.00041,0.00043,-0.00043
4.9,4.85,4.95,0.03218,0.00097,-0.00097,0.00032,-0.00032,0.0003,-0.0003
5.0,4.95,5.05,0.02931,0.00085,-0.00085,0.00042,-0.00042,0.00035,-0.00035
5.1,5.05,5.15,0.0282,0.0008,-0.0008,0.0005,-0.0005,0.0003,-0.0003
5.2,5.15,5.25,0.02939,0.00081,-0.00081,0.00021,-0.00021,0.00028,-0.00028
