#: table_doi: 10.17182/hepdata.90831.v1/t407
#: name: table no 407
#: description: Figure 05b from auxiliary figures,  nTracks toward_zptregion2 high thrust, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_407.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.5331,0.0077,-0.0077,0.1193,-0.1193,0.0202,-0.0202
0.095,0.05,0.14,0.654,0.009,-0.009,0.076,-0.076,0.018,-0.018
0.19,0.14,0.24,0.7407,0.0077,-0.0077,0.0429,-0.0429,0.0153,-0.0153
0.28500000000000003,0.24,0.33,0.786,0.0074,-0.0074,0.0207,-0.0207,0.0149,-0.0149
0.38,0.33,0.43,0.7945,0.0072,-0.0072,0.0099,-0.0099,0.0129,-0.0129
0.48,0.43,0.53,0.7537,0.0062,-0.0062,0.0058,-0.0058,0.0105,-0.0105
0.575,0.53,0.62,0.697,0.0055,-0.0055,0.0117,-0.0117,0.0063,-0.0063
0.6699999999999999,0.62,0.72,0.6432,0.0053,-0.0053,0.0179,-0.0179,0.0067,-0.0067
0.765,0.72,0.81,0.5989,0.0052,-0.0052,0.0303,-0.0303,0.0042,-0.0042
0.8600000000000001,0.81,0.91,0.553,0.005,-0.005,0.027,-0.027,0.006,-0.006
0.9550000000000001,0.91,1.0,0.5064,0.0043,-0.0043,0.0171,-0.0171,0.0041,-0.0041
1.05,1.0,1.1,0.4534,0.0038,-0.0038,0.0228,-0.0228,0.0046,-0.0046
1.145,1.1,1.19,0.408,0.0038,-0.0038,0.0136,-0.0136,0.0052,-0.0052
1.24,1.19,1.29,0.36,0.0036,-0.0036,0.0123,-0.0123,0.006,-0.006
1.335,1.29,1.38,0.3067,0.0033,-0.0033,0.0151,-0.0151,0.006,-0.006
1.43,1.38,1.48,0.264,0.0029,-0.0029,0.0164,-0.0164,0.0055,-0.0055
1.53,1.48,1.58,0.2248,0.0026,-0.0026,0.0137,-0.0137,0.0057,-0.0057
1.625,1.58,1.67,0.193,0.0024,-0.0024,0.0108,-0.0108,0.0065,-0.0065
1.72,1.67,1.77,0.1621,0.0021,-0.0021,0.0102,-0.0102,0.0068,-0.0068
1.815,1.77,1.86,0.135,0.002,-0.002,0.006,-0.006,0.006,-0.006
1.9100000000000001,1.86,1.96,0.115,0.0017,-0.0017,0.0029,-0.0029,0.005,-0.005
2.005,1.96,2.05,0.098,0.0016,-0.0016,0.005,-0.005,0.0042,-0.0042
2.0999999999999996,2.05,2.15,0.0811,0.0014,-0.0014,0.0049,-0.0049,0.0037,-0.0037
2.1950000000000003,2.15,2.24,0.0714,0.0014,-0.0014,0.0022,-0.0022,0.0033,-0.0033
2.29,2.24,2.34,0.0608,0.0013,-0.0013,0.0039,-0.0039,0.0029,-0.0029
2.3899999999999997,2.34,2.44,0.0493,0.0011,-0.0011,0.0022,-0.0022,0.0027,-0.0027
2.485,2.44,2.53,0.0433,0.0011,-0.0011,0.0029,-0.0029,0.0027,-0.0027
2.58,2.53,2.63,0.03475,0.00095,-0.00095,0.00117,-0.00117,0.00314,-0.00314
2.7249999999999996,2.63,2.82,0.02551,0.00085,-0.00085,0.00179,-0.00179,0.00153,-0.00153
2.915,2.82,3.01,0.01635,0.00067,-0.00067,0.00179,-0.00179,0.00144,-0.00144
3.105,3.01,3.2,0.01085,0.00053,-0.00053,0.00011,-0.00011,0.00098,-0.00098
3.295,3.2,3.39,0.0076,0.0004,-0.0004,0.0005,-0.0005,0.0007,-0.0007
3.4850000000000003,3.39,3.58,0.0056,0.00039,-0.00039,0.00085,-0.00085,0.00056,-0.00056
3.725,3.58,3.87,0.0032,0.0003,-0.0003,0.0006,-0.0006,0.0004,-0.0004
4.105,3.87,4.34,0.00118,0.00014,-0.00014,0.00049,-0.00049,0.00018,-0.00018

