#: table_doi: 10.17182/hepdata.90831.v1/t411
#: name: table no 411
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_411.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.223,0.014,-0.014,0.022,-0.022,0.01,-0.01
0.095,0.05,0.14,0.301,0.016,-0.016,0.018,-0.018,0.012,-0.012
0.19,0.14,0.24,0.416,0.016,-0.016,0.026,-0.026,0.015,-0.015
0.28500000000000003,0.24,0.33,0.496,0.016,-0.016,0.011,-0.011,0.016,-0.016
0.38,0.33,0.43,0.539,0.015,-0.015,0.016,-0.016,0.014,-0.014
0.48,0.43,0.53,0.553,0.014,-0.014,0.012,-0.012,0.012,-0.012
0.575,0.53,0.62,0.569,0.014,-0.014,0.013,-0.013,0.01,-0.01
0.6699999999999999,0.62,0.72,0.58,0.013,-0.013,0.01,-0.01,0.01,-0.01
0.765,0.72,0.81,0.583,0.013,-0.013,0.02,-0.02,0.009,-0.009
0.8600000000000001,0.81,0.91,0.55,0.012,-0.012,0.01,-0.01,0.008,-0.008
0.9550000000000001,0.91,1.0,0.549,0.012,-0.012,0.01,-0.01,0.005,-0.005
1.05,1.0,1.1,0.517,0.011,-0.011,0.016,-0.016,0.005,-0.005
1.145,1.1,1.19,0.506,0.012,-0.012,0.013,-0.013,0.005,-0.005
1.24,1.19,1.29,0.447,0.011,-0.011,0.011,-0.011,0.007,-0.007
1.335,1.29,1.38,0.42,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.43,1.38,1.48,0.3782,0.0089,-0.0089,0.0073,-0.0073,0.007,-0.007
1.53,1.48,1.58,0.3482,0.0087,-0.0087,0.0088,-0.0088,0.006,-0.006
1.625,1.58,1.67,0.331,0.0089,-0.0089,0.007,-0.007,0.0063,-0.0063
1.72,1.67,1.77,0.2994,0.0091,-0.0091,0.0063,-0.0063,0.0083,-0.0083
1.815,1.77,1.86,0.2574,0.0074,-0.0074,0.0164,-0.0164,0.0077,-0.0077
1.9100000000000001,1.86,1.96,0.2361,0.0066,-0.0066,0.0131,-0.0131,0.0085,-0.0085
2.005,1.96,2.05,0.186,0.0063,-0.0063,0.0075,-0.0075,0.008,-0.008
2.0999999999999996,2.05,2.15,0.1543,0.0057,-0.0057,0.0052,-0.0052,0.0075,-0.0075
2.1950000000000003,2.15,2.24,0.1453,0.0049,-0.0049,0.0059,-0.0059,0.0062,-0.0062
2.29,2.24,2.34,0.1235,0.0048,-0.0048,0.0038,-0.0038,0.0047,-0.0047
2.3899999999999997,2.34,2.44,0.1104,0.0049,-0.0049,0.0026,-0.0026,0.0045,-0.0045
2.485,2.44,2.53,0.0911,0.0044,-0.0044,0.0026,-0.0026,0.0047,-0.0047
2.58,2.53,2.63,0.0806,0.0042,-0.0042,0.0042,-0.0042,0.0075,-0.0075
2.7249999999999996,2.63,2.82,0.0643,0.0029,-0.0029,0.0027,-0.0027,0.0047,-0.0047
2.915,2.82,3.01,0.0535,0.0036,-0.0036,0.0012,-0.0012,0.0053,-0.0053
3.105,3.01,3.2,0.0333,0.0027,-0.0027,0.0018,-0.0018,0.0038,-0.0038
3.295,3.2,3.39,0.0211,0.0019,-0.0019,0.0036,-0.0036,0.0025,-0.0025
3.4850000000000003,3.39,3.58,0.0176,0.0018,-0.0018,0.0004,-0.0004,0.0019,-0.0019
3.725,3.58,3.87,0.0152,0.0016,-0.0016,0.0019,-0.0019,0.0014,-0.0014
4.105,3.87,4.34,0.0066,0.0012,-0.0012,0.0002,-0.0002,0.0009,-0.0009

