#: table_doi: 10.17182/hepdata.90831.v1/t418
#: name: table no 418
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transverse region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_418.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.14,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.095,0.05,0.14,0.264,0.014,-0.014,0.024,-0.024,0.011,-0.011
0.19,0.14,0.24,0.374,0.014,-0.014,0.024,-0.024,0.012,-0.012
0.28500000000000003,0.24,0.33,0.454,0.014,-0.014,0.029,-0.029,0.013,-0.013
0.38,0.33,0.43,0.54,0.014,-0.014,0.025,-0.025,0.015,-0.015
0.48,0.43,0.53,0.569,0.013,-0.013,0.016,-0.016,0.014,-0.014
0.575,0.53,0.62,0.599,0.013,-0.013,0.028,-0.028,0.013,-0.013
0.6699999999999999,0.62,0.72,0.62,0.013,-0.013,0.011,-0.011,0.011,-0.011
0.765,0.72,0.81,0.659,0.012,-0.012,0.014,-0.014,0.011,-0.011
0.8600000000000001,0.81,0.91,0.635,0.012,-0.012,0.017,-0.017,0.009,-0.009
0.9550000000000001,0.91,1.0,0.57,0.011,-0.011,0.011,-0.011,0.007,-0.007
1.05,1.0,1.1,0.566,0.011,-0.011,0.016,-0.016,0.006,-0.006
1.145,1.1,1.19,0.534,0.011,-0.011,0.011,-0.011,0.005,-0.005
1.24,1.19,1.29,0.4577,0.0087,-0.0087,0.0146,-0.0146,0.0055,-0.0055
1.335,1.29,1.38,0.4299,0.0086,-0.0086,0.0092,-0.0092,0.0094,-0.0094
1.43,1.38,1.48,0.3815,0.0082,-0.0082,0.0141,-0.0141,0.0104,-0.0104
1.53,1.48,1.58,0.3327,0.0078,-0.0078,0.0158,-0.0158,0.0103,-0.0103
1.625,1.58,1.67,0.2941,0.0074,-0.0074,0.0134,-0.0134,0.0077,-0.0077
1.72,1.67,1.77,0.2587,0.0064,-0.0064,0.0149,-0.0149,0.0078,-0.0078
1.815,1.77,1.86,0.2437,0.0067,-0.0067,0.0103,-0.0103,0.0079,-0.0079
1.9100000000000001,1.86,1.96,0.2112,0.0064,-0.0064,0.027,-0.027,0.0082,-0.0082
2.005,1.96,2.05,0.1786,0.0055,-0.0055,0.0109,-0.0109,0.0075,-0.0075
2.0999999999999996,2.05,2.15,0.1603,0.0048,-0.0048,0.0104,-0.0104,0.0075,-0.0075
2.1950000000000003,2.15,2.24,0.133,0.005,-0.005,0.017,-0.017,0.007,-0.007
2.29,2.24,2.34,0.1176,0.0043,-0.0043,0.008,-0.008,0.0061,-0.0061
2.3899999999999997,2.34,2.44,0.1044,0.0041,-0.0041,0.0092,-0.0092,0.0043,-0.0043
2.485,2.44,2.53,0.083,0.0031,-0.0031,0.0063,-0.0063,0.0042,-0.0042
2.58,2.53,2.63,0.087,0.0039,-0.0039,0.0056,-0.0056,0.0052,-0.0052
2.7249999999999996,2.63,2.82,0.0645,0.0031,-0.0031,0.0042,-0.0042,0.0035,-0.0035
2.915,2.82,3.01,0.044,0.0028,-0.0028,0.0048,-0.0048,0.0045,-0.0045
3.105,3.01,3.2,0.033,0.002,-0.002,0.003,-0.003,0.004,-0.004
3.295,3.2,3.39,0.0237,0.0019,-0.0019,0.0023,-0.0023,0.0038,-0.0038
3.4850000000000003,3.39,3.58,0.0177,0.0018,-0.0018,0.0007,-0.0007,0.0028,-0.0028
3.725,3.58,3.87,0.0104,0.0012,-0.0012,0.0025,-0.0025,0.0022,-0.0022
4.105,3.87,4.34,0.0084,0.0011,-0.0011,0.0007,-0.0007,0.0012,-0.0012

