#: table_doi: 10.17182/hepdata.90831.v1/t423
#: name: table no 423
#: description: Figure 07b,  nTracks transmin_zptregion2 high thrust, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_423.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.9425,0.0067,-0.0067,0.1625,-0.1625,0.0222,-0.0222
0.195,0.1,0.29,0.9564,0.0073,-0.0073,0.04,-0.04,0.0164,-0.0164
0.385,0.29,0.48,0.8128,0.0054,-0.0054,0.0206,-0.0206,0.0077,-0.0077
0.575,0.48,0.67,0.6466,0.0043,-0.0043,0.0391,-0.0391,0.0047,-0.0047
0.765,0.67,0.86,0.4901,0.0036,-0.0036,0.042,-0.042,0.0051,-0.0051
0.9550000000000001,0.86,1.05,0.3712,0.0031,-0.0031,0.0256,-0.0256,0.0065,-0.0065
1.145,1.05,1.24,0.2652,0.0026,-0.0026,0.0218,-0.0218,0.0062,-0.0062
1.335,1.24,1.43,0.1983,0.0021,-0.0021,0.0181,-0.0181,0.0055,-0.0055
1.525,1.43,1.62,0.1492,0.0018,-0.0018,0.0148,-0.0148,0.0048,-0.0048
1.715,1.62,1.81,0.1065,0.0015,-0.0015,0.0089,-0.0089,0.0039,-0.0039
1.91,1.81,2.01,0.0784,0.0011,-0.0011,0.0055,-0.0055,0.0031,-0.0031
2.105,2.01,2.2,0.0589,0.0011,-0.0011,0.0018,-0.0018,0.0023,-0.0023
2.295,2.2,2.39,0.04351,0.00099,-0.00099,0.00088,-0.00088,0.00202,-0.00202
2.4850000000000003,2.39,2.58,0.03168,0.00069,-0.00069,0.00043,-0.00043,0.00187,-0.00187
2.675,2.58,2.77,0.02417,0.00068,-0.00068,0.00119,-0.00119,0.00144,-0.00144
2.865,2.77,2.96,0.01632,0.00054,-0.00054,0.00083,-0.00083,0.00121,-0.00121
3.0549999999999997,2.96,3.15,0.01252,0.00048,-0.00048,0.0003,-0.0003,0.00064,-0.00064
3.245,3.15,3.34,0.00827,0.00037,-0.00037,0.00039,-0.00039,0.00064,-0.00064
3.4349999999999996,3.34,3.53,0.00672,0.00036,-0.00036,9e-05,-9e-05,0.00055,-0.00055
3.625,3.53,3.72,0.00444,0.00029,-0.00029,0.00086,-0.00086,0.00055,-0.00055
3.8200000000000003,3.72,3.92,0.004,0.00033,-0.00033,0.00058,-0.00058,0.00056,-0.00056
4.015000000000001,3.92,4.11,0.00303,0.00027,-0.00027,5e-05,-5e-05,0.00049,-0.00049
4.205,4.11,4.3,0.00139,0.00019,-0.00019,3e-05,-3e-05,0.00054,-0.00054

