#: table_doi: 10.17182/hepdata.90831.v1/t428
#: name: table no 428
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_428.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.461,0.018,-0.018,0.017,-0.017,0.023,-0.023
0.195,0.1,0.29,0.607,0.023,-0.023,0.012,-0.012,0.019,-0.019
0.385,0.29,0.48,0.635,0.019,-0.019,0.007,-0.007,0.016,-0.016
0.575,0.48,0.67,0.598,0.017,-0.017,0.009,-0.009,0.011,-0.011
0.765,0.67,0.86,0.575,0.016,-0.016,0.007,-0.007,0.009,-0.009
0.9550000000000001,0.86,1.05,0.501,0.013,-0.013,0.01,-0.01,0.007,-0.007
1.145,1.05,1.24,0.395,0.011,-0.011,0.004,-0.004,0.008,-0.008
1.335,1.24,1.43,0.32,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.525,1.43,1.62,0.2818,0.0095,-0.0095,0.0031,-0.0031,0.01,-0.01
1.715,1.62,1.81,0.2179,0.0078,-0.0078,0.0061,-0.0061,0.0088,-0.0088
1.91,1.81,2.01,0.1525,0.0068,-0.0068,0.0056,-0.0056,0.0093,-0.0093
2.105,2.01,2.2,0.1178,0.0052,-0.0052,0.0029,-0.0029,0.0077,-0.0077
2.295,2.2,2.39,0.0819,0.0048,-0.0048,0.0045,-0.0045,0.0066,-0.0066
2.4850000000000003,2.39,2.58,0.0701,0.0047,-0.0047,0.0041,-0.0041,0.005,-0.005
2.675,2.58,2.77,0.0511,0.0044,-0.0044,0.0049,-0.0049,0.0052,-0.0052
2.865,2.77,2.96,0.0426,0.0038,-0.0038,0.0042,-0.0042,0.0047,-0.0047
3.0549999999999997,2.96,3.15,0.0293,0.0035,-0.0035,0.0017,-0.0017,0.0044,-0.0044
3.245,3.15,3.34,0.0211,0.0026,-0.0026,0.0005,-0.0005,0.0039,-0.0039
3.4349999999999996,3.34,3.53,0.0129,0.0023,-0.0023,0.0005,-0.0005,0.0048,-0.0048
3.625,3.53,3.72,0.0208,0.0036,-0.0036,0.0009,-0.0009,0.0046,-0.0046
3.8200000000000003,3.72,3.92,0.0106,0.0028,-0.0028,0.001,-0.001,0.0048,-0.0048
4.015000000000001,3.92,4.11,0.0091,0.0025,-0.0025,0.0017,-0.0017,0.0047,-0.0047
4.205,4.11,4.3,0.0094,0.0032,-0.0032,0.0002,-0.0002,0.0045,-0.0045

