#: table_doi: 10.17182/hepdata.90831.v1/t435
#: name: table no 435
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmax region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_435.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.056,0.005,-0.005,0.006,-0.006,0.005,-0.005
0.195,0.1,0.29,0.1855,0.0095,-0.0095,0.0131,-0.0131,0.0085,-0.0085
0.385,0.29,0.48,0.33,0.011,-0.011,0.016,-0.016,0.01,-0.01
0.575,0.48,0.67,0.4019,0.0099,-0.0099,0.009,-0.009,0.0105,-0.0105
0.765,0.67,0.86,0.47,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.9550000000000001,0.86,1.05,0.4775,0.0096,-0.0096,0.0101,-0.0101,0.0089,-0.0089
1.145,1.05,1.24,0.479,0.009,-0.009,0.01,-0.01,0.009,-0.009
1.335,1.24,1.43,0.4493,0.0081,-0.0081,0.0096,-0.0096,0.0066,-0.0066
1.525,1.43,1.62,0.409,0.0073,-0.0073,0.007,-0.007,0.0062,-0.0062
1.715,1.62,1.81,0.364,0.0071,-0.0071,0.0053,-0.0053,0.0049,-0.0049
1.91,1.81,2.01,0.3034,0.0066,-0.0066,0.0069,-0.0069,0.0067,-0.0067
2.105,2.01,2.2,0.2585,0.0057,-0.0057,0.0113,-0.0113,0.0061,-0.0061
2.295,2.2,2.39,0.197,0.0051,-0.0051,0.0127,-0.0127,0.0077,-0.0077
2.4850000000000003,2.39,2.58,0.1622,0.0044,-0.0044,0.0158,-0.0158,0.0063,-0.0063
2.675,2.58,2.77,0.137,0.0038,-0.0038,0.01,-0.01,0.0058,-0.0058
2.865,2.77,2.96,0.1124,0.0037,-0.0037,0.0038,-0.0038,0.0039,-0.0039
3.0549999999999997,2.96,3.15,0.1022,0.0036,-0.0036,0.0052,-0.0052,0.0042,-0.0042
3.245,3.15,3.34,0.0757,0.0027,-0.0027,0.0064,-0.0064,0.0044,-0.0044
3.4349999999999996,3.34,3.53,0.0565,0.0027,-0.0027,0.0037,-0.0037,0.0041,-0.0041
3.625,3.53,3.72,0.0403,0.0022,-0.0022,0.0019,-0.0019,0.0038,-0.0038
3.8200000000000003,3.72,3.92,0.0389,0.0025,-0.0025,0.0011,-0.0011,0.0028,-0.0028
4.015000000000001,3.92,4.11,0.0248,0.0021,-0.0021,0.0006,-0.0006,0.003,-0.003
4.205,4.11,4.3,0.0197,0.0014,-0.0014,0.0011,-0.0011,0.0026,-0.0026

