#: table_doi: 10.17182/hepdata.90831.v1/t443
#: name: table no 443
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_443.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0066,0.0023,-0.0023,0.0009,-0.0009,0.001,-0.001
0.095,0.05,0.14,0.01,0.003,-0.003,0.002,-0.002,0.001,-0.001
0.19,0.14,0.24,0.0138,0.0022,-0.0022,0.0013,-0.0013,0.0016,-0.0016
0.28500000000000003,0.24,0.33,0.0296,0.0042,-0.0042,0.0008,-0.0008,0.0018,-0.0018
0.38,0.33,0.43,0.0388,0.0041,-0.0041,0.0023,-0.0023,0.0021,-0.0021
0.48,0.43,0.53,0.0535,0.0045,-0.0045,0.0009,-0.0009,0.0026,-0.0026
0.575,0.53,0.62,0.0773,0.0046,-0.0046,0.0026,-0.0026,0.0043,-0.0043
0.6699999999999999,0.62,0.72,0.0996,0.0063,-0.0063,0.0037,-0.0037,0.0064,-0.0064
0.765,0.72,0.81,0.1383,0.0068,-0.0068,0.0028,-0.0028,0.0079,-0.0079
0.8600000000000001,0.81,0.91,0.1692,0.0068,-0.0068,0.0052,-0.0052,0.0099,-0.0099
0.9550000000000001,0.91,1.0,0.1996,0.0077,-0.0077,0.0063,-0.0063,0.0097,-0.0097
1.05,1.0,1.1,0.246,0.0095,-0.0095,0.004,-0.004,0.0102,-0.0102
1.145,1.1,1.19,0.298,0.009,-0.009,0.006,-0.006,0.011,-0.011
1.24,1.19,1.29,0.326,0.0092,-0.0092,0.0069,-0.0069,0.0118,-0.0118
1.335,1.29,1.38,0.3582,0.0095,-0.0095,0.0073,-0.0073,0.0126,-0.0126
1.43,1.38,1.48,0.401,0.011,-0.011,0.007,-0.007,0.012,-0.012
1.53,1.48,1.58,0.41,0.01,-0.01,0.02,-0.02,0.01,-0.01
1.625,1.58,1.67,0.4095,0.0095,-0.0095,0.007,-0.007,0.0086,-0.0086
1.72,1.67,1.77,0.4591,0.0097,-0.0097,0.0123,-0.0123,0.0086,-0.0086
1.815,1.77,1.86,0.469,0.0098,-0.0098,0.019,-0.019,0.0085,-0.0085
1.9100000000000001,1.86,1.96,0.4601,0.0094,-0.0094,0.0192,-0.0192,0.0076,-0.0076
2.005,1.96,2.05,0.4408,0.0088,-0.0088,0.0079,-0.0079,0.0055,-0.0055
2.0999999999999996,2.05,2.15,0.4315,0.0084,-0.0084,0.0078,-0.0078,0.0043,-0.0043
2.1950000000000003,2.15,2.24,0.4067,0.0079,-0.0079,0.0094,-0.0094,0.0047,-0.0047
2.29,2.24,2.34,0.409,0.008,-0.008,0.008,-0.008,0.004,-0.004
2.3899999999999997,2.34,2.44,0.4029,0.0082,-0.0082,0.0064,-0.0064,0.0049,-0.0049
2.485,2.44,2.53,0.3653,0.0082,-0.0082,0.0155,-0.0155,0.005,-0.005
2.58,2.53,2.63,0.3597,0.0076,-0.0076,0.0059,-0.0059,0.0083,-0.0083
2.7249999999999996,2.63,2.82,0.3207,0.0069,-0.0069,0.0094,-0.0094,0.0057,-0.0057
2.915,2.82,3.01,0.2572,0.0062,-0.0062,0.0046,-0.0046,0.0065,-0.0065
3.105,3.01,3.2,0.212,0.006,-0.006,0.004,-0.004,0.008,-0.008
3.295,3.2,3.39,0.1636,0.0049,-0.0049,0.004,-0.004,0.0082,-0.0082
3.4850000000000003,3.39,3.58,0.1336,0.0045,-0.0045,0.0058,-0.0058,0.009,-0.009
3.725,3.58,3.87,0.106,0.0037,-0.0037,0.0049,-0.0049,0.0054,-0.0054
4.105,3.87,4.34,0.0548,0.0025,-0.0025,0.0047,-0.0047,0.0032,-0.0032

