#: table_doi: 10.17182/hepdata.90831.v1/t447
#: name: table no 447
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_447.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.9115,0.0075,-0.0075,0.1466,-0.1466,0.0228,-0.0228
0.23500000000000001,0.14,0.33,0.7398,0.0068,-0.0068,0.02,-0.02,0.0133,-0.0133
0.43000000000000005,0.33,0.53,0.6773,0.0057,-0.0057,0.006,-0.006,0.0077,-0.0077
0.625,0.53,0.72,0.5763,0.0047,-0.0047,0.013,-0.013,0.0039,-0.0039
0.815,0.72,0.91,0.4923,0.0042,-0.0042,0.0174,-0.0174,0.0029,-0.0029
1.0050000000000001,0.91,1.1,0.4043,0.0036,-0.0036,0.0172,-0.0172,0.004,-0.004
1.195,1.1,1.29,0.3383,0.0034,-0.0034,0.0146,-0.0146,0.0035,-0.0035
1.385,1.29,1.48,0.2718,0.0029,-0.0029,0.0168,-0.0168,0.0042,-0.0042
1.575,1.48,1.67,0.2133,0.0025,-0.0025,0.0129,-0.0129,0.0038,-0.0038
1.7650000000000001,1.67,1.86,0.1644,0.0023,-0.0023,0.0082,-0.0082,0.005,-0.005
2.1,1.86,2.34,0.1122,0.0014,-0.0014,0.0069,-0.0069,0.0021,-0.0021
2.5300000000000002,2.34,2.72,0.0664,0.0012,-0.0012,0.003,-0.003,0.0026,-0.0026
2.91,2.72,3.1,0.04216,0.00093,-0.00093,0.00169,-0.00169,0.00199,-0.00199
3.295,3.1,3.49,0.02722,0.00073,-0.00073,0.00119,-0.00119,0.00123,-0.00123
3.68,3.49,3.87,0.01821,0.00057,-0.00057,0.00096,-0.00096,0.00093,-0.00093
4.105,3.87,4.34,0.01181,0.00042,-0.00042,0.0002,-0.0002,0.00049,-0.00049
4.58,4.34,4.82,0.007,0.0003,-0.0003,0.0005,-0.0005,0.0004,-0.0004
5.0600000000000005,4.82,5.3,0.00543,0.00031,-0.00031,0.00016,-0.00016,0.0003,-0.0003
5.54,5.3,5.78,0.00231,0.00017,-0.00017,0.00026,-0.00026,0.00038,-0.00038

