#: table_doi: 10.17182/hepdata.90831.v1/t461
#: name: table no 461
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_461.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.185,0.026,-0.026,0.014,-0.014,0.011,-0.011
0.23500000000000001,0.14,0.33,0.218,0.027,-0.027,0.011,-0.011,0.012,-0.012
0.43000000000000005,0.33,0.53,0.301,0.027,-0.027,0.011,-0.011,0.012,-0.012
0.625,0.53,0.72,0.395,0.028,-0.028,0.018,-0.018,0.013,-0.013
0.815,0.72,0.91,0.35,0.028,-0.028,0.01,-0.01,0.012,-0.012
1.0050000000000001,0.91,1.1,0.366,0.027,-0.027,0.011,-0.011,0.013,-0.013
1.195,1.1,1.29,0.325,0.025,-0.025,0.009,-0.009,0.014,-0.014
1.385,1.29,1.48,0.29,0.02,-0.02,0.01,-0.01,0.01,-0.01
1.575,1.48,1.67,0.27,0.02,-0.02,0.01,-0.01,0.01,-0.01
1.7650000000000001,1.67,1.86,0.205,0.016,-0.016,0.006,-0.006,0.012,-0.012
2.1,1.86,2.34,0.196,0.013,-0.013,0.006,-0.006,0.005,-0.005
2.5300000000000002,2.34,2.72,0.161,0.013,-0.013,0.007,-0.007,0.006,-0.006
2.91,2.72,3.1,0.115,0.011,-0.011,0.004,-0.004,0.006,-0.006
3.295,3.1,3.49,0.118,0.011,-0.011,0.008,-0.008,0.007,-0.007
3.68,3.49,3.87,0.0797,0.0086,-0.0086,0.0046,-0.0046,0.0061,-0.0061
4.105,3.87,4.34,0.0521,0.0073,-0.0073,0.0088,-0.0088,0.0046,-0.0046
4.58,4.34,4.82,0.0348,0.0049,-0.0049,0.0068,-0.0068,0.0043,-0.0043
5.0600000000000005,4.82,5.3,0.0298,0.0038,-0.0038,0.0013,-0.0013,0.0043,-0.0043
5.54,5.3,5.78,0.045,0.007,-0.007,0.003,-0.003,0.004,-0.004

