#: table_doi: 10.17182/hepdata.90831.v1/t466
#: name: table no 466
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_466.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.927,0.012,-0.012,0.062,-0.062,0.017,-0.017
0.48,0.29,0.67,0.64,0.01,-0.01,0.04,-0.04,0.01,-0.01
0.8600000000000001,0.67,1.05,0.4642,0.0081,-0.0081,0.0218,-0.0218,0.0055,-0.0055
1.24,1.05,1.43,0.2902,0.0055,-0.0055,0.0191,-0.0191,0.0046,-0.0046
1.62,1.43,1.81,0.1719,0.0044,-0.0044,0.0179,-0.0179,0.0041,-0.0041
2.005,1.81,2.2,0.1085,0.0032,-0.0032,0.0146,-0.0146,0.0032,-0.0032
2.39,2.2,2.58,0.067,0.0026,-0.0026,0.0082,-0.0082,0.0028,-0.0028
2.77,2.58,2.96,0.047,0.0024,-0.0024,0.004,-0.004,0.0024,-0.0024
3.15,2.96,3.34,0.0242,0.0017,-0.0017,0.0029,-0.0029,0.0021,-0.0021
3.5300000000000002,3.34,3.72,0.0194,0.0014,-0.0014,0.0021,-0.0021,0.0013,-0.0013
4.2,3.72,4.68,0.01128,0.00083,-0.00083,0.00089,-0.00089,0.00046,-0.00046
5.0600000000000005,4.68,5.44,0.00472,0.00053,-0.00053,0.00037,-0.00037,0.00059,-0.00059

