#: table_doi: 10.17182/hepdata.90831.v1/t477
#: name: table no 477
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmax region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_477.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.119,0.015,-0.015,0.007,-0.007,0.01,-0.01
0.48,0.29,0.67,0.19,0.017,-0.017,0.009,-0.009,0.01,-0.01
0.8600000000000001,0.67,1.05,0.29,0.02,-0.02,0.01,-0.01,0.01,-0.01
1.24,1.05,1.43,0.274,0.019,-0.019,0.007,-0.007,0.011,-0.011
1.62,1.43,1.81,0.245,0.016,-0.016,0.008,-0.008,0.008,-0.008
2.005,1.81,2.2,0.174,0.013,-0.013,0.005,-0.005,0.005,-0.005
2.39,2.2,2.58,0.156,0.013,-0.013,0.004,-0.004,0.004,-0.004
2.77,2.58,2.96,0.1411,0.0099,-0.0099,0.0067,-0.0067,0.0048,-0.0048
3.15,2.96,3.34,0.116,0.011,-0.011,0.004,-0.004,0.006,-0.006
3.5300000000000002,3.34,3.72,0.105,0.0083,-0.0083,0.0069,-0.0069,0.0069,-0.0069
4.2,3.72,4.68,0.0808,0.0055,-0.0055,0.006,-0.006,0.0031,-0.0031
5.0600000000000005,4.68,5.44,0.0561,0.0051,-0.0051,0.0022,-0.0022,0.0033,-0.0033

