#: table_doi: 10.17182/hepdata.90831.v1/t481
#: name: table no 481
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),away region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_481.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0325,0.0026,-0.0026,0.0039,-0.0039,0.0022,-0.0022
0.23500000000000001,0.14,0.33,0.0467,0.0027,-0.0027,0.002,-0.002,0.0016,-0.0016
0.43000000000000005,0.33,0.53,0.0465,0.0025,-0.0025,0.0017,-0.0017,0.002,-0.002
0.625,0.53,0.72,0.057,0.0028,-0.0028,0.0023,-0.0023,0.0022,-0.0022
0.815,0.72,0.91,0.069,0.003,-0.003,0.003,-0.003,0.002,-0.002
1.0050000000000001,0.91,1.1,0.069,0.0028,-0.0028,0.0031,-0.0031,0.002,-0.002
1.195,1.1,1.29,0.0803,0.0029,-0.0029,0.0032,-0.0032,0.0025,-0.0025
1.385,1.29,1.48,0.0926,0.0029,-0.0029,0.0037,-0.0037,0.0037,-0.0037
1.575,1.48,1.67,0.1092,0.0032,-0.0032,0.0046,-0.0046,0.0047,-0.0047
1.7650000000000001,1.67,1.86,0.1267,0.0034,-0.0034,0.0052,-0.0052,0.0064,-0.0064
2.1,1.86,2.34,0.1527,0.0028,-0.0028,0.0064,-0.0064,0.0031,-0.0031
2.5300000000000002,2.34,2.72,0.19,0.0033,-0.0033,0.007,-0.007,0.004,-0.004
2.91,2.72,3.1,0.215,0.0035,-0.0035,0.0077,-0.0077,0.003,-0.003
3.295,3.1,3.49,0.2326,0.0034,-0.0034,0.0084,-0.0084,0.0022,-0.0022
3.68,3.49,3.87,0.2348,0.0034,-0.0034,0.008,-0.008,0.002,-0.002
4.105,3.87,4.34,0.2192,0.0032,-0.0032,0.0076,-0.0076,0.0021,-0.0021
4.58,4.34,4.82,0.1926,0.0029,-0.0029,0.0064,-0.0064,0.0028,-0.0028
5.0600000000000005,4.82,5.3,0.1473,0.0025,-0.0025,0.0059,-0.0059,0.003,-0.003
5.54,5.3,5.78,0.1065,0.0023,-0.0023,0.0036,-0.0036,0.0032,-0.0032

