#: table_doi: 10.17182/hepdata.90831.v1/t486
#: name: table no 486
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),toward region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_486.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.1026,0.0033,-0.0033,0.0846,-0.0846,0.0108,-0.0108
0.6000000000000001,0.55,0.65,0.4645,0.0071,-0.0071,0.0266,-0.0266,0.0094,-0.0094
0.7,0.65,0.75,0.839,0.0087,-0.0087,0.0662,-0.0662,0.0095,-0.0095
0.8,0.75,0.85,1.29,0.01,-0.01,0.09,-0.09,0.01,-0.01
0.8999999999999999,0.85,0.95,1.5609,0.0097,-0.0097,0.1265,-0.1265,0.0133,-0.0133
1.0,0.95,1.05,1.5297,0.0093,-0.0093,0.1366,-0.1366,0.0137,-0.0137
1.1,1.05,1.15,1.243,0.008,-0.008,0.116,-0.116,0.01,-0.01
1.2,1.15,1.25,0.9018,0.0066,-0.0066,0.0814,-0.0814,0.0054,-0.0054
1.3,1.25,1.35,0.621,0.0055,-0.0055,0.0515,-0.0515,0.0039,-0.0039
1.4,1.35,1.45,0.401,0.004,-0.004,0.033,-0.033,0.004,-0.004
1.5,1.45,1.55,0.2816,0.0033,-0.0033,0.0275,-0.0275,0.0033,-0.0033
1.6,1.55,1.65,0.1986,0.0029,-0.0029,0.0201,-0.0201,0.003,-0.003
1.7,1.65,1.75,0.1344,0.0022,-0.0022,0.0135,-0.0135,0.0029,-0.0029
1.8,1.75,1.85,0.0918,0.0017,-0.0017,0.007,-0.007,0.0026,-0.0026
1.9,1.85,1.95,0.0727,0.0016,-0.0016,0.0065,-0.0065,0.0025,-0.0025
2.0,1.95,2.05,0.0532,0.0014,-0.0014,0.0059,-0.0059,0.0026,-0.0026
2.0999999999999996,2.05,2.15,0.0393,0.0013,-0.0013,0.004,-0.004,0.002,-0.002
2.2,2.15,2.25,0.02886,0.00099,-0.00099,0.00309,-0.00309,0.00143,-0.00143
2.3,2.25,2.35,0.02201,0.00084,-0.00084,0.00312,-0.00312,0.00112,-0.00112
2.4000000000000004,2.35,2.45,0.01912,0.00079,-0.00079,0.00187,-0.00187,0.00123,-0.00123
2.5,2.45,2.55,0.01621,0.00072,-0.00072,0.00133,-0.00133,0.00134,-0.00134
2.5999999999999996,2.55,2.65,0.0138,0.0008,-0.0008,0.0012,-0.0012,0.001,-0.001
2.7,2.65,2.75,0.00922,0.00056,-0.00056,0.00047,-0.00047,0.00091,-0.00091
2.8,2.75,2.85,0.00892,0.00062,-0.00062,0.0005,-0.0005,0.00113,-0.00113
2.9000000000000004,2.85,2.95,0.00722,0.00056,-0.00056,0.00036,-0.00036,0.00108,-0.00108

