#: table_doi: 10.17182/hepdata.90831.v1/t495
#: name: table no 495
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),transverse region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_495.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.063,0.003,-0.003,0.032,-0.032,0.01,-0.01
0.6000000000000001,0.55,0.65,0.3869,0.0076,-0.0076,0.0953,-0.0953,0.0096,-0.0096
0.7,0.65,0.75,0.74,0.01,-0.01,0.12,-0.12,0.01,-0.01
0.8,0.75,0.85,1.197,0.011,-0.011,0.08,-0.08,0.009,-0.009
0.8999999999999999,0.85,0.95,1.475,0.012,-0.012,0.061,-0.061,0.012,-0.012
1.0,0.95,1.05,1.42,0.01,-0.01,0.09,-0.09,0.01,-0.01
1.1,1.05,1.15,1.2141,0.0094,-0.0094,0.0775,-0.0775,0.0112,-0.0112
1.2,1.15,1.25,0.9159,0.0078,-0.0078,0.068,-0.068,0.0059,-0.0059
1.3,1.25,1.35,0.6653,0.0064,-0.0064,0.0411,-0.0411,0.0045,-0.0045
1.4,1.35,1.45,0.4645,0.0058,-0.0058,0.0266,-0.0266,0.0039,-0.0039
1.5,1.45,1.55,0.3341,0.0049,-0.0049,0.0151,-0.0151,0.0048,-0.0048
1.6,1.55,1.65,0.237,0.004,-0.004,0.012,-0.012,0.004,-0.004
1.7,1.65,1.75,0.1762,0.0034,-0.0034,0.0073,-0.0073,0.0041,-0.0041
1.8,1.75,1.85,0.1294,0.0027,-0.0027,0.0061,-0.0061,0.0028,-0.0028
1.9,1.85,1.95,0.1003,0.0023,-0.0023,0.0033,-0.0033,0.0021,-0.0021
2.0,1.95,2.05,0.0829,0.0021,-0.0021,0.0055,-0.0055,0.0017,-0.0017
2.0999999999999996,2.05,2.15,0.0658,0.0017,-0.0017,0.002,-0.002,0.0016,-0.0016
2.2,2.15,2.25,0.0497,0.0016,-0.0016,0.0068,-0.0068,0.0013,-0.0013
2.3,2.25,2.35,0.0381,0.0013,-0.0013,0.0035,-0.0035,0.0018,-0.0018
2.4000000000000004,2.35,2.45,0.0322,0.0012,-0.0012,0.0052,-0.0052,0.0019,-0.0019
2.5,2.45,2.55,0.029,0.001,-0.001,0.001,-0.001,0.002,-0.002
2.5999999999999996,2.55,2.65,0.0243,0.0011,-0.0011,0.0058,-0.0058,0.0017,-0.0017
2.7,2.65,2.75,0.01787,0.00096,-0.00096,0.00299,-0.00299,0.00204,-0.00204
2.8,2.75,2.85,0.021,0.001,-0.001,0.001,-0.001,0.002,-0.002
2.9000000000000004,2.85,2.95,0.016,0.001,-0.001,0.002,-0.002,0.002,-0.002

