#: table_doi: 10.17182/hepdata.90831.v1/t506
#: name: table no 506
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),transmin region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_506.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.11,0.01,-0.01,0.1,-0.1,0.02,-0.02
0.6000000000000001,0.55,0.65,0.657,0.023,-0.023,0.034,-0.034,0.019,-0.019
0.7,0.65,0.75,1.014,0.029,-0.029,0.111,-0.111,0.019,-0.019
0.8,0.75,0.85,1.405,0.033,-0.033,0.114,-0.114,0.017,-0.017
0.8999999999999999,0.85,0.95,1.45,0.03,-0.03,0.09,-0.09,0.02,-0.02
1.0,0.95,1.05,1.243,0.026,-0.026,0.057,-0.057,0.02,-0.02
1.1,1.05,1.15,0.971,0.024,-0.024,0.065,-0.065,0.022,-0.022
1.2,1.15,1.25,0.78,0.02,-0.02,0.04,-0.04,0.02,-0.02
1.3,1.25,1.35,0.561,0.017,-0.017,0.033,-0.033,0.011,-0.011
1.4,1.35,1.45,0.411,0.014,-0.014,0.03,-0.03,0.008,-0.008
1.5,1.45,1.55,0.287,0.013,-0.013,0.032,-0.032,0.008,-0.008
1.6,1.55,1.65,0.224,0.011,-0.011,0.017,-0.017,0.009,-0.009
1.7,1.65,1.75,0.16,0.009,-0.009,0.027,-0.027,0.012,-0.012
1.8,1.75,1.85,0.1083,0.0085,-0.0085,0.0134,-0.0134,0.0106,-0.0106
1.9,1.85,1.95,0.0904,0.0062,-0.0062,0.0047,-0.0047,0.0097,-0.0097
2.0,1.95,2.05,0.0763,0.0058,-0.0058,0.0046,-0.0046,0.007,-0.007
2.0999999999999996,2.05,2.15,0.0481,0.0042,-0.0042,0.0065,-0.0065,0.0063,-0.0063
2.2,2.15,2.25,0.0427,0.0041,-0.0041,0.003,-0.003,0.0064,-0.0064
2.3,2.25,2.35,0.0634,0.0068,-0.0068,0.0092,-0.0092,0.0063,-0.0063
2.4000000000000004,2.35,2.45,0.0519,0.0054,-0.0054,0.0055,-0.0055,0.0064,-0.0064
2.5,2.45,2.55,0.023,0.003,-0.003,0.005,-0.005,0.005,-0.005
2.5999999999999996,2.55,2.65,0.0178,0.0032,-0.0032,0.0027,-0.0027,0.0044,-0.0044
2.7,2.65,2.75,0.0102,0.0027,-0.0027,0.0089,-0.0089,0.0037,-0.0037
2.8,2.75,2.85,0.016,0.002,-0.002,0.002,-0.002,0.003,-0.003
2.9000000000000004,2.85,2.95,0.0109,0.0027,-0.0027,0.0023,-0.0023,0.0035,-0.0035

