#: table_doi: 10.17182/hepdata.90831.v1/t511
#: name: table no 511
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),transmax region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_511.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0594,0.0027,-0.0027,0.0294,-0.0294,0.0094,-0.0094
0.6000000000000001,0.55,0.65,0.3818,0.0069,-0.0069,0.0959,-0.0959,0.0088,-0.0088
0.7,0.65,0.75,0.696,0.009,-0.009,0.118,-0.118,0.009,-0.009
0.8,0.75,0.85,1.028,0.011,-0.011,0.072,-0.072,0.008,-0.008
0.8999999999999999,0.85,0.95,1.212,0.011,-0.011,0.045,-0.045,0.009,-0.009
1.0,0.95,1.05,1.19,0.01,-0.01,0.06,-0.06,0.01,-0.01
1.1,1.05,1.15,1.0551,0.0098,-0.0098,0.0577,-0.0577,0.0088,-0.0088
1.2,1.15,1.25,0.8724,0.0085,-0.0085,0.0583,-0.0583,0.0069,-0.0069
1.3,1.25,1.35,0.7046,0.0079,-0.0079,0.0441,-0.0441,0.0054,-0.0054
1.4,1.35,1.45,0.5543,0.0066,-0.0066,0.0357,-0.0357,0.0059,-0.0059
1.5,1.45,1.55,0.4277,0.0059,-0.0059,0.0183,-0.0183,0.0043,-0.0043
1.6,1.55,1.65,0.329,0.005,-0.005,0.018,-0.018,0.004,-0.004
1.7,1.65,1.75,0.2615,0.0045,-0.0045,0.0095,-0.0095,0.0028,-0.0028
1.8,1.75,1.85,0.1946,0.0036,-0.0036,0.0081,-0.0081,0.0031,-0.0031
1.9,1.85,1.95,0.1551,0.0031,-0.0031,0.0067,-0.0067,0.0024,-0.0024
2.0,1.95,2.05,0.1224,0.0029,-0.0029,0.013,-0.013,0.0025,-0.0025
2.0999999999999996,2.05,2.15,0.1072,0.0026,-0.0026,0.0049,-0.0049,0.0024,-0.0024
2.2,2.15,2.25,0.0881,0.0026,-0.0026,0.0036,-0.0036,0.0026,-0.0026
2.3,2.25,2.35,0.0754,0.0023,-0.0023,0.0024,-0.0024,0.0034,-0.0034
2.4000000000000004,2.35,2.45,0.061,0.002,-0.002,0.002,-0.002,0.003,-0.003
2.5,2.45,2.55,0.0508,0.0016,-0.0016,0.006,-0.006,0.0025,-0.0025
2.5999999999999996,2.55,2.65,0.048,0.0018,-0.0018,0.0021,-0.0021,0.002,-0.002
2.7,2.65,2.75,0.0363,0.0016,-0.0016,0.0034,-0.0034,0.0017,-0.0017
2.8,2.75,2.85,0.0317,0.0015,-0.0015,0.0011,-0.0011,0.0014,-0.0014
2.9000000000000004,2.85,2.95,0.0296,0.0016,-0.0016,0.0057,-0.0057,0.002,-0.002

