#: table_doi: 10.17182/hepdata.90831.v1/t52
#: name: table no 52
#: description: Figure 02a from auxiliary figures,  ptSpec toward_zptregion7, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_52.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.7945,0.0071,-0.0071,0.019,-0.019,0.006,-0.006
0.6000000000000001,0.55,0.65,1.3683,0.0082,-0.0082,0.0196,-0.0196,0.0055,-0.0055
0.7,0.65,0.75,1.1174,0.0085,-0.0085,0.0146,-0.0146,0.0045,-0.0045
0.8,0.75,0.85,0.9149,0.0081,-0.0081,0.0103,-0.0103,0.0038,-0.0038
0.8999999999999999,0.85,0.95,0.7596,0.0074,-0.0074,0.0074,-0.0074,0.0032,-0.0032
1.0,0.95,1.05,0.6476,0.0068,-0.0068,0.0059,-0.0059,0.0027,-0.0027
1.1,1.05,1.15,0.526,0.007,-0.007,0.005,-0.005,0.002,-0.002
1.2,1.15,1.25,0.4435,0.0064,-0.0064,0.004,-0.004,0.002,-0.002
1.3,1.25,1.35,0.3877,0.0059,-0.0059,0.0037,-0.0037,0.0019,-0.0019
1.4,1.35,1.45,0.328,0.006,-0.006,0.003,-0.003,0.002,-0.002
1.5,1.45,1.55,0.2752,0.0056,-0.0056,0.0033,-0.0033,0.0017,-0.0017
1.6,1.55,1.65,0.2403,0.0052,-0.0052,0.0033,-0.0033,0.0017,-0.0017
1.7,1.65,1.75,0.212,0.005,-0.005,0.003,-0.003,0.002,-0.002
1.8,1.75,1.85,0.184,0.0045,-0.0045,0.0029,-0.0029,0.0018,-0.0018
1.9,1.85,1.95,0.149,0.004,-0.004,0.003,-0.003,0.002,-0.002
2.0,1.95,2.05,0.1318,0.0039,-0.0039,0.0025,-0.0025,0.0018,-0.0018
2.0999999999999996,2.05,2.15,0.123,0.0037,-0.0037,0.0023,-0.0023,0.0017,-0.0017
2.2,2.15,2.25,0.1053,0.0036,-0.0036,0.0022,-0.0022,0.0018,-0.0018
2.3,2.25,2.35,0.0905,0.0033,-0.0033,0.002,-0.002,0.0016,-0.0016
2.4000000000000004,2.35,2.45,0.0876,0.0031,-0.0031,0.0019,-0.0019,0.0018,-0.0018
2.5,2.45,2.55,0.0751,0.0029,-0.0029,0.0017,-0.0017,0.0017,-0.0017
2.5999999999999996,2.55,2.65,0.0624,0.0025,-0.0025,0.0016,-0.0016,0.0017,-0.0017
2.7,2.65,2.75,0.0578,0.0024,-0.0024,0.0016,-0.0016,0.0014,-0.0014
2.8,2.75,2.85,0.0542,0.0023,-0.0023,0.0015,-0.0015,0.0012,-0.0012
2.9000000000000004,2.85,2.95,0.0474,0.0022,-0.0022,0.0013,-0.0013,0.0009,-0.0009
3.0,2.95,3.05,0.043,0.002,-0.002,0.001,-0.001,0.001,-0.001
3.0999999999999996,3.05,3.15,0.039,0.002,-0.002,0.001,-0.001,0.001,-0.001
3.2,3.15,3.25,0.0362,0.0017,-0.0017,0.001,-0.001,0.0008,-0.0008
3.3,3.25,3.35,0.0336,0.0017,-0.0017,0.001,-0.001,0.0008,-0.0008
3.4000000000000004,3.35,3.45,0.0301,0.0016,-0.0016,0.001,-0.001,0.0007,-0.0007
3.5,3.45,3.55,0.0293,0.0018,-0.0018,0.0009,-0.0009,0.0006,-0.0006
3.5999999999999996,3.55,3.65,0.0247,0.0015,-0.0015,0.0008,-0.0008,0.0007,-0.0007
3.7,3.65,3.75,0.0248,0.0015,-0.0015,0.0008,-0.0008,0.0008,-0.0008
3.8,3.75,3.85,0.021,0.0015,-0.0015,0.0008,-0.0008,0.0008,-0.0008
3.9000000000000004,3.85,3.95,0.0223,0.0015,-0.0015,0.0007,-0.0007,0.0006,-0.0006
4.0,3.95,4.05,0.0194,0.0013,-0.0013,0.0006,-0.0006,0.0005,-0.0005
4.1,4.05,4.15,0.0181,0.0013,-0.0013,0.0006,-0.0006,0.0006,-0.0006
4.2,4.15,4.25,0.0168,0.0011,-0.0011,0.0006,-0.0006,0.0008,-0.0008
4.3,4.25,4.35,0.0172,0.0011,-0.0011,0.0006,-0.0006,0.0008,-0.0008
4.4,4.35,4.45,0.0157,0.0013,-0.0013,0.0005,-0.0005,0.0007,-0.0007
4.5,4.45,4.55,0.01318,0.00094,-0.00094,0.00044,-0.00044,0.00064,-0.00064
4.6,4.55,4.65,0.01178,0.00088,-0.00088,0.0005,-0.0005,0.00067,-0.00067
4.7,4.65,4.75,0.01276,0.00088,-0.00088,0.00045,-0.00045,0.00073,-0.00073
4.8,4.75,4.85,0.01309,0.00099,-0.00099,0.00036,-0.00036,0.00066,-0.00066
4.9,4.85,4.95,0.0115,0.0008,-0.0008,0.0004,-0.0004,0.0006,-0.0006
5.0,4.95,5.05,0.01068,0.00084,-0.00084,0.00041,-0.00041,0.0005,-0.0005
5.1,5.05,5.15,0.00958,0.00073,-0.00073,0.00033,-0.00033,0.00058,-0.00058
5.2,5.15,5.25,0.01026,0.00081,-0.00081,0.00029,-0.00029,0.00061,-0.00061
5.3,5.25,5.35,0.00892,0.00075,-0.00075,0.00028,-0.00028,0.00061,-0.00061
5.4,5.35,5.45,0.01059,0.00085,-0.00085,0.00029,-0.00029,0.00053,-0.00053

