#: table_doi: 10.17182/hepdata.90831.v1/t521
#: name: table no 521
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),away region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_521.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0021,0.0009,-0.0009,0.0012,-0.0012,0.0008,-0.0008
0.6000000000000001,0.55,0.65,0.0227,0.0029,-0.0029,0.003,-0.003,0.0011,-0.0011
0.7,0.65,0.75,0.041,0.0039,-0.0039,0.0024,-0.0024,0.0017,-0.0017
0.8,0.75,0.85,0.0632,0.0043,-0.0043,0.005,-0.005,0.0021,-0.0021
0.8999999999999999,0.85,0.95,0.1252,0.0062,-0.0062,0.0084,-0.0084,0.0029,-0.0029
1.0,0.95,1.05,0.194,0.0072,-0.0072,0.013,-0.013,0.0033,-0.0033
1.1,1.05,1.15,0.208,0.007,-0.007,0.018,-0.018,0.004,-0.004
1.2,1.15,1.25,0.2691,0.0076,-0.0076,0.0249,-0.0249,0.0049,-0.0049
1.3,1.25,1.35,0.3338,0.0084,-0.0084,0.0336,-0.0336,0.0062,-0.0062
1.4,1.35,1.45,0.4,0.009,-0.009,0.035,-0.035,0.006,-0.006
1.5,1.45,1.55,0.4503,0.0092,-0.0092,0.0327,-0.0327,0.0058,-0.0058
1.6,1.55,1.65,0.4837,0.0089,-0.0089,0.0348,-0.0348,0.0056,-0.0056
1.7,1.65,1.75,0.5402,0.0092,-0.0092,0.0318,-0.0318,0.0062,-0.0062
1.8,1.75,1.85,0.5732,0.0095,-0.0095,0.0311,-0.0311,0.0066,-0.0066
1.9,1.85,1.95,0.548,0.0089,-0.0089,0.0298,-0.0298,0.007,-0.007
2.0,1.95,2.05,0.5232,0.0084,-0.0084,0.026,-0.026,0.0071,-0.0071
2.0999999999999996,2.05,2.15,0.5074,0.0078,-0.0078,0.0239,-0.0239,0.0054,-0.0054
2.2,2.15,2.25,0.4606,0.0069,-0.0069,0.0215,-0.0215,0.0043,-0.0043
2.3,2.25,2.35,0.4301,0.0066,-0.0066,0.0191,-0.0191,0.0033,-0.0033
2.4000000000000004,2.35,2.45,0.3938,0.0063,-0.0063,0.0176,-0.0176,0.003,-0.003
2.5,2.45,2.55,0.3627,0.0058,-0.0058,0.0158,-0.0158,0.0028,-0.0028
2.5999999999999996,2.55,2.65,0.3174,0.0053,-0.0053,0.0137,-0.0137,0.0028,-0.0028
2.7,2.65,2.75,0.284,0.005,-0.005,0.013,-0.013,0.003,-0.003
2.8,2.75,2.85,0.2508,0.0045,-0.0045,0.0112,-0.0112,0.003,-0.003
2.9000000000000004,2.85,2.95,0.2212,0.0042,-0.0042,0.0187,-0.0187,0.0034,-0.0034

