#: table_doi: 10.17182/hepdata.90831.v1/t53
#: name: table no 53
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_53.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.751,0.013,-0.013,0.014,-0.014,0.007,-0.007
0.6000000000000001,0.55,0.65,1.288,0.018,-0.018,0.016,-0.016,0.007,-0.007
0.7,0.65,0.75,1.059,0.015,-0.015,0.012,-0.012,0.006,-0.006
0.8,0.75,0.85,0.879,0.015,-0.015,0.009,-0.009,0.006,-0.006
0.8999999999999999,0.85,0.95,0.724,0.014,-0.014,0.007,-0.007,0.005,-0.005
1.0,0.95,1.05,0.642,0.015,-0.015,0.007,-0.007,0.004,-0.004
1.1,1.05,1.15,0.552,0.013,-0.013,0.006,-0.006,0.004,-0.004
1.2,1.15,1.25,0.452,0.012,-0.012,0.005,-0.005,0.004,-0.004
1.3,1.25,1.35,0.355,0.011,-0.011,0.004,-0.004,0.004,-0.004
1.4,1.35,1.45,0.325,0.011,-0.011,0.003,-0.003,0.003,-0.003
1.5,1.45,1.55,0.2639,0.0098,-0.0098,0.003,-0.003,0.0028,-0.0028
1.6,1.55,1.65,0.2376,0.0096,-0.0096,0.0028,-0.0028,0.0032,-0.0032
1.7,1.65,1.75,0.1904,0.0085,-0.0085,0.0025,-0.0025,0.0039,-0.0039
1.8,1.75,1.85,0.1867,0.0085,-0.0085,0.0024,-0.0024,0.0045,-0.0045
1.9,1.85,1.95,0.1571,0.0076,-0.0076,0.0023,-0.0023,0.0036,-0.0036
2.0,1.95,2.05,0.119,0.007,-0.007,0.002,-0.002,0.003,-0.003
2.0999999999999996,2.05,2.15,0.1328,0.0073,-0.0073,0.0019,-0.0019,0.0028,-0.0028
2.2,2.15,2.25,0.1234,0.0071,-0.0071,0.0015,-0.0015,0.0032,-0.0032
2.3,2.25,2.35,0.0918,0.0061,-0.0061,0.0012,-0.0012,0.0033,-0.0033
2.4000000000000004,2.35,2.45,0.091,0.006,-0.006,0.001,-0.001,0.003,-0.003
2.5,2.45,2.55,0.0841,0.0056,-0.0056,0.0013,-0.0013,0.0025,-0.0025
2.5999999999999996,2.55,2.65,0.0716,0.0058,-0.0058,0.0014,-0.0014,0.0024,-0.0024
2.7,2.65,2.75,0.0658,0.0047,-0.0047,0.0015,-0.0015,0.0027,-0.0027
2.8,2.75,2.85,0.0467,0.0041,-0.0041,0.0015,-0.0015,0.0028,-0.0028
2.9000000000000004,2.85,2.95,0.0602,0.0049,-0.0049,0.0014,-0.0014,0.0026,-0.0026
3.0,2.95,3.05,0.0533,0.0046,-0.0046,0.0013,-0.0013,0.0023,-0.0023
3.0999999999999996,3.05,3.15,0.0341,0.0034,-0.0034,0.001,-0.001,0.0021,-0.0021
3.2,3.15,3.25,0.0411,0.0036,-0.0036,0.001,-0.001,0.0021,-0.0021
3.3,3.25,3.35,0.0367,0.0032,-0.0032,0.0008,-0.0008,0.0022,-0.0022
3.4000000000000004,3.35,3.45,0.0388,0.0029,-0.0029,0.0006,-0.0006,0.0018,-0.0018
3.5,3.45,3.55,0.0298,0.0028,-0.0028,0.0006,-0.0006,0.0015,-0.0015
