#: table_doi: 10.17182/hepdata.90831.v1/t54
#: name: table no 54
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_54.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.9292,0.0013,-0.0013,0.0149,-0.0149,0.0048,-0.0048
0.6000000000000001,0.55,0.65,1.572,0.0019,-0.0019,0.0192,-0.0192,0.0042,-0.0042
0.7,0.65,0.75,1.27,0.0016,-0.0016,0.0151,-0.0151,0.0029,-0.0029
0.8,0.75,0.85,1.021,0.0015,-0.0015,0.0113,-0.0113,0.0017,-0.0017
0.8999999999999999,0.85,0.95,0.8374,0.0013,-0.0013,0.0087,-0.0087,0.001,-0.001
1.0,0.95,1.05,0.6872,0.0013,-0.0013,0.007,-0.007,0.0009,-0.0009
1.1,1.05,1.15,0.565,0.0012,-0.0012,0.0058,-0.0058,0.0011,-0.0011
1.2,1.15,1.25,0.4702,0.0012,-0.0012,0.0049,-0.0049,0.0012,-0.0012
1.3,1.25,1.35,0.3893,0.0011,-0.0011,0.0042,-0.0042,0.0012,-0.0012
1.4,1.35,1.45,0.326,0.001,-0.001,0.004,-0.004,0.001,-0.001
1.5,1.45,1.55,0.27221,0.00094,-0.00094,0.0034,-0.0034,0.00102,-0.00102
1.6,1.55,1.65,0.2286,0.00088,-0.00088,0.00307,-0.00307,0.0009,-0.0009
1.7,1.65,1.75,0.19322,0.00083,-0.00083,0.00278,-0.00278,0.00078,-0.00078
1.8,1.75,1.85,0.16254,0.00079,-0.00079,0.0025,-0.0025,0.00068,-0.00068
1.9,1.85,1.95,0.1381,0.0007,-0.0007,0.0023,-0.0023,0.0006,-0.0006
2.0,1.95,2.05,0.11907,0.00065,-0.00065,0.00206,-0.00206,0.00056,-0.00056
2.0999999999999996,2.05,2.15,0.09991,0.00064,-0.00064,0.00184,-0.00184,0.00053,-0.00053
2.2,2.15,2.25,0.08626,0.00059,-0.00059,0.00169,-0.00169,0.00045,-0.00045
2.3,2.25,2.35,0.07453,0.00051,-0.00051,0.00155,-0.00155,0.00038,-0.00038
2.4000000000000004,2.35,2.45,0.06383,0.00048,-0.00048,0.0014,-0.0014,0.0003,-0.0003
2.5,2.45,2.55,0.05558,0.00046,-0.00046,0.00125,-0.00125,0.00027,-0.00027
2.5999999999999996,2.55,2.65,0.0483,0.0004,-0.0004,0.0011,-0.0011,0.0003,-0.0003
2.7,2.65,2.75,0.04184,0.00036,-0.00036,0.00103,-0.00103,0.00026,-0.00026
2.8,2.75,2.85,0.0373,0.00035,-0.00035,0.00093,-0.00093,0.00024,-0.00024
2.9000000000000004,2.85,2.95,0.03242,0.00032,-0.00032,0.00084,-0.00084,0.00022,-0.00022
3.0,2.95,3.05,0.02798,0.00029,-0.00029,0.00076,-0.00076,0.0002,-0.0002
3.0999999999999996,3.05,3.15,0.02467,0.00028,-0.00028,0.00069,-0.00069,0.00018,-0.00018
3.2,3.15,3.25,0.02192,0.00023,-0.00023,0.00062,-0.00062,0.00018,-0.00018
3.3,3.25,3.35,0.01931,0.00023,-0.00023,0.00055,-0.00055,0.00016,-0.00016
3.4000000000000004,3.35,3.45,0.01682,0.00022,-0.00022,0.00052,-0.00052,0.00015,-0.00015
