#: table_doi: 10.17182/hepdata.90831.v1/t63
#: name: table no 63
#: description: Figure 04a,  ptSpec transmin_zptregion2, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_63.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.9996,0.0026,-0.0026,0.0205,-0.0205,0.0045,-0.0045
0.6000000000000001,0.55,0.65,1.679,0.0033,-0.0033,0.0233,-0.0233,0.004,-0.004
0.7,0.65,0.75,1.3245,0.0032,-0.0032,0.0175,-0.0175,0.0028,-0.0028
0.8,0.75,0.85,1.0656,0.0028,-0.0028,0.0126,-0.0126,0.0019,-0.0019
0.8999999999999999,0.85,0.95,0.8489,0.0028,-0.0028,0.0092,-0.0092,0.0014,-0.0014
1.0,0.95,1.05,0.6931,0.0026,-0.0026,0.0075,-0.0075,0.0014,-0.0014
1.1,1.05,1.15,0.5544,0.0024,-0.0024,0.0064,-0.0064,0.0015,-0.0015
1.2,1.15,1.25,0.4612,0.0022,-0.0022,0.0059,-0.0059,0.0017,-0.0017
1.3,1.25,1.35,0.3745,0.0021,-0.0021,0.0055,-0.0055,0.0016,-0.0016
1.4,1.35,1.45,0.3073,0.0019,-0.0019,0.0051,-0.0051,0.0015,-0.0015
1.5,1.45,1.55,0.2567,0.0018,-0.0018,0.0047,-0.0047,0.0012,-0.0012
1.6,1.55,1.65,0.2094,0.0017,-0.0017,0.0043,-0.0043,0.001,-0.001
1.7,1.65,1.75,0.1757,0.0016,-0.0016,0.0039,-0.0039,0.0008,-0.0008
1.8,1.75,1.85,0.1503,0.0015,-0.0015,0.0035,-0.0035,0.0008,-0.0008
1.9,1.85,1.95,0.1226,0.0014,-0.0014,0.003,-0.003,0.0007,-0.0007
2.0,1.95,2.05,0.1031,0.0012,-0.0012,0.0027,-0.0027,0.0007,-0.0007
2.0999999999999996,2.05,2.15,0.0886,0.0011,-0.0011,0.0023,-0.0023,0.0006,-0.0006
2.2,2.15,2.25,0.075,0.0011,-0.0011,0.0021,-0.0021,0.0005,-0.0005
2.3,2.25,2.35,0.06284,0.00091,-0.00091,0.00183,-0.00183,0.00043,-0.00043
2.4000000000000004,2.35,2.45,0.056,0.0009,-0.0009,0.0016,-0.0016,0.0004,-0.0004
2.5,2.45,2.55,0.0479,0.00084,-0.00084,0.00141,-0.00141,0.00039,-0.00039
2.5999999999999996,2.55,2.65,0.03948,0.00076,-0.00076,0.00118,-0.00118,0.00039,-0.00039
2.7,2.65,2.75,0.0331,0.00063,-0.00063,0.00106,-0.00106,0.00038,-0.00038
2.8,2.75,2.85,0.0309,0.00065,-0.00065,0.0009,-0.0009,0.00039,-0.00039
2.9000000000000004,2.85,2.95,0.02693,0.00061,-0.00061,0.0008,-0.0008,0.00037,-0.00037
3.0,2.95,3.05,0.02095,0.00055,-0.00055,0.00065,-0.00065,0.00035,-0.00035
3.0999999999999996,3.05,3.15,0.02015,0.00049,-0.00049,0.00058,-0.00058,0.00028,-0.00028
3.2,3.15,3.25,0.01762,0.00045,-0.00045,0.00049,-0.00049,0.00023,-0.00023
3.3,3.25,3.35,0.014,0.0004,-0.0004,0.0004,-0.0004,0.0002,-0.0002
3.4000000000000004,3.35,3.45,0.0135,0.0004,-0.0004,0.0004,-0.0004,0.0002,-0.0002
3.5,3.45,3.55,0.01178,0.00038,-0.00038,0.00031,-0.00031,0.00017,-0.00017
3.5999999999999996,3.55,3.65,0.0095,0.0003,-0.0003,0.0003,-0.0003,0.0002,-0.0002
3.7,3.65,3.75,0.00914,0.00033,-0.00033,0.00024,-0.00024,0.00018,-0.00018
3.8,3.75,3.85,0.0086,0.0003,-0.0003,0.0002,-0.0002,0.0002,-0.0002
3.9000000000000004,3.85,3.95,0.00717,0.00026,-0.00026,0.00016,-0.00016,0.0002,-0.0002
4.0,3.95,4.05,0.0063,0.00025,-0.00025,0.00012,-0.00012,0.00017,-0.00017
