#: table_doi: 10.17182/hepdata.90831.v1/t64
#: name: table no 64
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_64.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.966,0.003,-0.003,0.03,-0.03,0.004,-0.004
0.6000000000000001,0.55,0.65,1.6279,0.0037,-0.0037,0.0296,-0.0296,0.0036,-0.0036
0.7,0.65,0.75,1.2985,0.0037,-0.0037,0.0225,-0.0225,0.0025,-0.0025
0.8,0.75,0.85,1.0322,0.0033,-0.0033,0.015,-0.015,0.0017,-0.0017
0.8999999999999999,0.85,0.95,0.8346,0.0032,-0.0032,0.0092,-0.0092,0.0013,-0.0013
1.0,0.95,1.05,0.6748,0.0029,-0.0029,0.0062,-0.0062,0.0014,-0.0014
1.1,1.05,1.15,0.5585,0.0027,-0.0027,0.0049,-0.0049,0.0014,-0.0014
1.2,1.15,1.25,0.4558,0.0025,-0.0025,0.0046,-0.0046,0.0014,-0.0014
1.3,1.25,1.35,0.382,0.0022,-0.0022,0.0048,-0.0048,0.0014,-0.0014
1.4,1.35,1.45,0.3097,0.0022,-0.0022,0.0052,-0.0052,0.0013,-0.0013
1.5,1.45,1.55,0.2649,0.0022,-0.0022,0.0053,-0.0053,0.0011,-0.0011
1.6,1.55,1.65,0.219,0.002,-0.002,0.005,-0.005,0.001,-0.001
1.7,1.65,1.75,0.1827,0.0017,-0.0017,0.0053,-0.0053,0.0008,-0.0008
1.8,1.75,1.85,0.1525,0.0017,-0.0017,0.0052,-0.0052,0.0008,-0.0008
1.9,1.85,1.95,0.1316,0.0016,-0.0016,0.0049,-0.0049,0.0008,-0.0008
2.0,1.95,2.05,0.1107,0.0015,-0.0015,0.0047,-0.0047,0.0008,-0.0008
2.0999999999999996,2.05,2.15,0.0938,0.0013,-0.0013,0.0044,-0.0044,0.0008,-0.0008
2.2,2.15,2.25,0.0809,0.0012,-0.0012,0.0041,-0.0041,0.0008,-0.0008
2.3,2.25,2.35,0.0698,0.0012,-0.0012,0.0038,-0.0038,0.0007,-0.0007
2.4000000000000004,2.35,2.45,0.06,0.001,-0.001,0.003,-0.003,0.001,-0.001
2.5,2.45,2.55,0.05099,0.00097,-0.00097,0.00323,-0.00323,0.00051,-0.00051
2.5999999999999996,2.55,2.65,0.04498,0.00089,-0.00089,0.003,-0.003,0.00042,-0.00042
2.7,2.65,2.75,0.03861,0.00084,-0.00084,0.00275,-0.00275,0.00035,-0.00035
2.8,2.75,2.85,0.03251,0.00074,-0.00074,0.00249,-0.00249,0.00036,-0.00036
2.9000000000000004,2.85,2.95,0.02913,0.00071,-0.00071,0.00226,-0.00226,0.00037,-0.00037
3.0,2.95,3.05,0.02664,0.00064,-0.00064,0.00205,-0.00205,0.00038,-0.00038
3.0999999999999996,3.05,3.15,0.0232,0.00056,-0.00056,0.00189,-0.00189,0.00034,-0.00034
3.2,3.15,3.25,0.01916,0.00055,-0.00055,0.00175,-0.00175,0.0003,-0.0003
3.3,3.25,3.35,0.01838,0.00048,-0.00048,0.00159,-0.00159,0.00025,-0.00025
3.4000000000000004,3.35,3.45,0.01637,0.00047,-0.00047,0.00144,-0.00144,0.00023,-0.00023
3.5,3.45,3.55,0.01539,0.00049,-0.00049,0.00131,-0.00131,0.00021,-0.00021
3.5999999999999996,3.55,3.65,0.0138,0.00042,-0.00042,0.00123,-0.00123,0.00022,-0.00022
3.7,3.65,3.75,0.01049,0.00037,-0.00037,0.00113,-0.00113,0.00022,-0.00022
3.8,3.75,3.85,0.00933,0.00034,-0.00034,0.00104,-0.00104,0.00021,-0.00021
3.9000000000000004,3.85,3.95,0.00938,0.00034,-0.00034,0.00094,-0.00094,0.00019,-0.00019
4.0,3.95,4.05,0.00804,0.00031,-0.00031,0.00084,-0.00084,0.00017,-0.00017
4.1,4.05,4.15,0.0079,0.00032,-0.00032,0.00075,-0.00075,0.00016,-0.00016
4.2,4.15,4.25,0.00693,0.00033,-0.00033,0.00069,-0.00069,0.00018,-0.00018
4.3,4.25,4.35,0.00621,0.00029,-0.00029,0.00065,-0.00065,0.00022,-0.00022
4.4,4.35,4.45,0.00585,0.00027,-0.00027,0.00062,-0.00062,0.00022,-0.00022
4.5,4.45,4.55,0.00562,0.00026,-0.00026,0.00058,-0.00058,0.00019,-0.00019
4.6,4.55,4.65,0.0052,0.00024,-0.00024,0.00053,-0.00053,0.00014,-0.00014
4.7,4.65,4.75,0.00487,0.00022,-0.00022,0.00049,-0.00049,0.00012,-0.00012
4.8,4.75,4.85,0.00437,0.00022,-0.00022,0.00045,-0.00045,0.00011,-0.00011
4.9,4.85,4.95,0.00371,0.00021,-0.00021,0.0004,-0.0004,0.00013,-0.00013
5.0,4.95,5.05,0.00323,0.00016,-0.00016,0.00035,-0.00035,0.00015,-0.00015
5.1,5.05,5.15,0.0032,0.0002,-0.0002,0.0003,-0.0003,0.0002,-0.0002
5.2,5.15,5.25,0.0033,0.00018,-0.00018,0.00031,-0.00031,0.00021,-0.00021
5.3,5.25,5.35,0.00299,0.00017,-0.00017,0.00031,-0.00031,0.0002,-0.0002
5.4,5.35,5.45,0.00274,0.00017,-0.00017,0.00033,-0.00033,0.00015,-0.00015

