#: table_doi: 10.17182/hepdata.90831.v1/t76
#: name: table no 76
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmax region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_76.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.6499,0.0072,-0.0072,0.0218,-0.0218,0.0046,-0.0046
0.6000000000000001,0.55,0.65,1.14,0.01,-0.01,0.02,-0.02,0,0
0.7,0.65,0.75,0.9427,0.0096,-0.0096,0.0173,-0.0173,0.0039,-0.0039
0.8,0.75,0.85,0.804,0.0087,-0.0087,0.0128,-0.0128,0.0033,-0.0033
0.8999999999999999,0.85,0.95,0.6899,0.0089,-0.0089,0.0091,-0.0091,0.0027,-0.0027
1.0,0.95,1.05,0.5681,0.0078,-0.0078,0.0061,-0.0061,0.0024,-0.0024
1.1,1.05,1.15,0.5039,0.0079,-0.0079,0.0046,-0.0046,0.0022,-0.0022
1.2,1.15,1.25,0.432,0.0073,-0.0073,0.0033,-0.0033,0.0021,-0.0021
1.3,1.25,1.35,0.3678,0.0071,-0.0071,0.0029,-0.0029,0.0021,-0.0021
1.4,1.35,1.45,0.3349,0.0072,-0.0072,0.0027,-0.0027,0.0025,-0.0025
1.5,1.45,1.55,0.2866,0.0067,-0.0067,0.0029,-0.0029,0.0028,-0.0028
1.6,1.55,1.65,0.2621,0.0065,-0.0065,0.0029,-0.0029,0.003,-0.003
1.7,1.65,1.75,0.2224,0.0061,-0.0061,0.003,-0.003,0.0027,-0.0027
1.8,1.75,1.85,0.1861,0.0054,-0.0054,0.0029,-0.0029,0.0027,-0.0027
1.9,1.85,1.95,0.1678,0.0054,-0.0054,0.0029,-0.0029,0.0024,-0.0024
2.0,1.95,2.05,0.1637,0.0048,-0.0048,0.0027,-0.0027,0.0024,-0.0024
2.0999999999999996,2.05,2.15,0.1241,0.0045,-0.0045,0.0027,-0.0027,0.002,-0.002
2.2,2.15,2.25,0.1281,0.0046,-0.0046,0.0024,-0.0024,0.0018,-0.0018
2.3,2.25,2.35,0.1082,0.0041,-0.0041,0.0026,-0.0026,0.0015,-0.0015
2.4000000000000004,2.35,2.45,0.0971,0.0037,-0.0037,0.0025,-0.0025,0.0014,-0.0014
2.5,2.45,2.55,0.0861,0.0035,-0.0035,0.0022,-0.0022,0.0013,-0.0013
2.5999999999999996,2.55,2.65,0.0825,0.0036,-0.0036,0.002,-0.002,0.0011,-0.0011
