#: table_doi: 10.17182/hepdata.90831.v1/t83
#: name: table no 83
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_83.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.5482,0.0031,-0.0031,0.0077,-0.0077,0.0048,-0.0048
0.6000000000000001,0.55,0.65,0.95,0.0037,-0.0037,0.0091,-0.0091,0.0044,-0.0044
0.7,0.65,0.75,0.8046,0.0037,-0.0037,0.0074,-0.0074,0.0034,-0.0034
0.8,0.75,0.85,0.6862,0.0036,-0.0036,0.0059,-0.0059,0.0025,-0.0025
0.8999999999999999,0.85,0.95,0.588,0.0034,-0.0034,0.0049,-0.0049,0.0017,-0.0017
1.0,0.95,1.05,0.4991,0.0033,-0.0033,0.0038,-0.0038,0.0012,-0.0012
1.1,1.05,1.15,0.4436,0.0034,-0.0034,0.0034,-0.0034,0.0008,-0.0008
1.2,1.15,1.25,0.382,0.003,-0.003,0.003,-0.003,0.001,-0.001
1.3,1.25,1.35,0.335,0.003,-0.003,0.002,-0.002,0.001,-0.001
1.4,1.35,1.45,0.2986,0.0029,-0.0029,0.0022,-0.0022,0.0007,-0.0007
1.5,1.45,1.55,0.2613,0.0027,-0.0027,0.0019,-0.0019,0.0007,-0.0007
1.6,1.55,1.65,0.2311,0.0025,-0.0025,0.0017,-0.0017,0.0007,-0.0007
1.7,1.65,1.75,0.2135,0.0025,-0.0025,0.0016,-0.0016,0.0007,-0.0007
1.8,1.75,1.85,0.1907,0.0024,-0.0024,0.0014,-0.0014,0.0006,-0.0006
1.9,1.85,1.95,0.1708,0.0022,-0.0022,0.0013,-0.0013,0.0006,-0.0006
2.0,1.95,2.05,0.1584,0.0023,-0.0023,0.0012,-0.0012,0.0005,-0.0005
2.0999999999999996,2.05,2.15,0.1353,0.0021,-0.0021,0.0012,-0.0012,0.0005,-0.0005
2.2,2.15,2.25,0.1323,0.0021,-0.0021,0.001,-0.001,0.0005,-0.0005
2.3,2.25,2.35,0.119,0.002,-0.002,0.001,-0.001,0.001,-0.001
2.4000000000000004,2.35,2.45,0.1139,0.0019,-0.0019,0.0009,-0.0009,0.0006,-0.0006
2.5,2.45,2.55,0.1058,0.0017,-0.0017,0.0009,-0.0009,0.0005,-0.0005
2.5999999999999996,2.55,2.65,0.0923,0.0016,-0.0016,0.0008,-0.0008,0.0005,-0.0005
2.7,2.65,2.75,0.0907,0.0016,-0.0016,0.0008,-0.0008,0.0005,-0.0005
2.8,2.75,2.85,0.0832,0.0014,-0.0014,0.0007,-0.0007,0.0005,-0.0005
2.9000000000000004,2.85,2.95,0.0758,0.0015,-0.0015,0.0008,-0.0008,0.0005,-0.0005
3.0,2.95,3.05,0.0709,0.0014,-0.0014,0.0008,-0.0008,0.0006,-0.0006
3.0999999999999996,3.05,3.15,0.0676,0.0014,-0.0014,0.0007,-0.0007,0.0006,-0.0006
3.2,3.15,3.25,0.067,0.0013,-0.0013,0.0007,-0.0007,0.0006,-0.0006
3.3,3.25,3.35,0.0612,0.0013,-0.0013,0.0006,-0.0006,0.0005,-0.0005
3.4000000000000004,3.35,3.45,0.0576,0.0012,-0.0012,0.0006,-0.0006,0.0005,-0.0005
3.5,3.45,3.55,0.0518,0.0011,-0.0011,0.0005,-0.0005,0.0004,-0.0004
3.5999999999999996,3.55,3.65,0.0513,0.0011,-0.0011,0.0006,-0.0006,0.0003,-0.0003
3.7,3.65,3.75,0.0532,0.0012,-0.0012,0.0006,-0.0006,0.0003,-0.0003
3.8,3.75,3.85,0.046,0.001,-0.001,0.001,-0.001,0,0
3.9000000000000004,3.85,3.95,0.046,0.001,-0.001,0.001,-0.001,0,0
4.0,3.95,4.05,0.04319,0.00093,-0.00093,0.00056,-0.00056,0.00038,-0.00038
4.1,4.05,4.15,0.04155,0.00099,-0.00099,0.00051,-0.00051,0.00038,-0.00038
4.2,4.15,4.25,0.0386,0.0009,-0.0009,0.0005,-0.0005,0.0004,-0.0004
4.3,4.25,4.35,0.03739,0.00083,-0.00083,0.00046,-0.00046,0.00038,-0.00038
4.4,4.35,4.45,0.03695,0.00084,-0.00084,0.00045,-0.00045,0.00034,-0.00034
4.5,4.45,4.55,0.03534,0.00082,-0.00082,0.00041,-0.00041,0.00036,-0.00036
4.6,4.55,4.65,0.03353,0.00083,-0.00083,0.00042,-0.00042,0.00039,-0.00039
4.7,4.65,4.75,0.03143,0.00077,-0.00077,0.0004,-0.0004,0.00043,-0.00043
