#: table_doi: 10.17182/hepdata.90831.v1/t86
#: name: table no 86
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,toward region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_86.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.3962,0.0036,-0.0036,0.0069,-0.0069,0.02,-0.02
0.095,0.05,0.14,0.502,0.004,-0.004,0.006,-0.006,0.019,-0.019
0.19,0.14,0.24,0.5682,0.0035,-0.0035,0.0053,-0.0053,0.0174,-0.0174
0.28500000000000003,0.24,0.33,0.6329,0.0032,-0.0032,0.005,-0.005,0.0158,-0.0158
0.38,0.33,0.43,0.658,0.003,-0.003,0.005,-0.005,0.014,-0.014
0.48,0.43,0.53,0.6625,0.0029,-0.0029,0.005,-0.005,0.0119,-0.0119
0.575,0.53,0.62,0.6499,0.0027,-0.0027,0.0048,-0.0048,0.0095,-0.0095
0.6699999999999999,0.62,0.72,0.6255,0.0025,-0.0025,0.0047,-0.0047,0.0073,-0.0073
0.765,0.72,0.81,0.5977,0.0025,-0.0025,0.0049,-0.0049,0.0054,-0.0054
0.8600000000000001,0.81,0.91,0.5648,0.0024,-0.0024,0.0052,-0.0052,0.0039,-0.0039
0.9550000000000001,0.91,1.0,0.5287,0.0022,-0.0022,0.0052,-0.0052,0.0028,-0.0028
1.05,1.0,1.1,0.494,0.002,-0.002,0.004,-0.004,0.003,-0.003
1.145,1.1,1.19,0.4502,0.0019,-0.0019,0.0042,-0.0042,0.003,-0.003
1.24,1.19,1.29,0.4074,0.0018,-0.0018,0.004,-0.004,0.0041,-0.0041
1.335,1.29,1.38,0.3638,0.0017,-0.0017,0.004,-0.004,0.0053,-0.0053
1.43,1.38,1.48,0.3266,0.0016,-0.0016,0.0033,-0.0033,0.006,-0.006
1.53,1.48,1.58,0.288,0.0015,-0.0015,0.0027,-0.0027,0.0065,-0.0065
1.625,1.58,1.67,0.2535,0.0014,-0.0014,0.0022,-0.0022,0.0067,-0.0067
1.72,1.67,1.77,0.224,0.0013,-0.0013,0.0022,-0.0022,0.0069,-0.0069
1.815,1.77,1.86,0.1912,0.0012,-0.0012,0.0022,-0.0022,0.0069,-0.0069
1.9100000000000001,1.86,1.96,0.1711,0.0012,-0.0012,0.0026,-0.0026,0.0068,-0.0068
2.005,1.96,2.05,0.144,0.001,-0.001,0.003,-0.003,0.006,-0.006
2.0999999999999996,2.05,2.15,0.12486,0.00096,-0.00096,0.00291,-0.00291,0.00625,-0.00625
2.1950000000000003,2.15,2.24,0.10508,0.00086,-0.00086,0.00269,-0.00269,0.00592,-0.00592
2.29,2.24,2.34,0.08967,0.00079,-0.00079,0.00246,-0.00246,0.00557,-0.00557
2.3899999999999997,2.34,2.44,0.07544,0.00073,-0.00073,0.00216,-0.00216,0.00513,-0.00513
2.485,2.44,2.53,0.06354,0.00068,-0.00068,0.00189,-0.00189,0.0051,-0.0051
2.58,2.53,2.63,0.05362,0.00066,-0.00066,0.0017,-0.0017,0.00533,-0.00533
2.7249999999999996,2.63,2.82,0.04166,0.00056,-0.00056,0.00078,-0.00078,0.00284,-0.00284
2.915,2.82,3.01,0.02794,0.00042,-0.00042,0.00068,-0.00068,0.00262,-0.00262
3.105,3.01,3.2,0.02028,0.00037,-0.00037,0.00062,-0.00062,0.00216,-0.00216
3.295,3.2,3.39,0.0133,0.0003,-0.0003,0.0006,-0.0006,0.0016,-0.0016
3.4850000000000003,3.39,3.58,0.00922,0.00026,-0.00026,0.00063,-0.00063,0.00131,-0.00131
3.725,3.58,3.87,0.00594,0.00022,-0.00022,0.00036,-0.00036,0.00074,-0.00074
4.105,3.87,4.34,0.00249,0.00014,-0.00014,0.00017,-0.00017,0.00035,-0.00035

