#: table_doi: 10.17182/hepdata.90831.v1/t87
#: name: table no 87
#: description: Figure 01b from auxiliary figures,  nTracks toward_zptregion2, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_87.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.3234,0.0042,-0.0042,0.0197,-0.0197,0.016,-0.016
0.095,0.05,0.14,0.4166,0.0046,-0.0046,0.0165,-0.0165,0.016,-0.016
0.19,0.14,0.24,0.4997,0.0041,-0.0041,0.0107,-0.0107,0.0163,-0.0163
0.28500000000000003,0.24,0.33,0.575,0.0041,-0.0041,0.0062,-0.0062,0.0166,-0.0166
0.38,0.33,0.43,0.623,0.0041,-0.0041,0.0043,-0.0043,0.016,-0.016
0.48,0.43,0.53,0.629,0.004,-0.004,0.004,-0.004,0.014,-0.014
0.575,0.53,0.62,0.6275,0.0036,-0.0036,0.0054,-0.0054,0.0112,-0.0112
0.6699999999999999,0.62,0.72,0.6108,0.0033,-0.0033,0.007,-0.007,0.0083,-0.0083
0.765,0.72,0.81,0.5905,0.0032,-0.0032,0.0083,-0.0083,0.0061,-0.0061
0.8600000000000001,0.81,0.91,0.5754,0.0031,-0.0031,0.0089,-0.0089,0.0045,-0.0045
0.9550000000000001,0.91,1.0,0.5515,0.0029,-0.0029,0.0084,-0.0084,0.0035,-0.0035
1.05,1.0,1.1,0.5169,0.0027,-0.0027,0.0075,-0.0075,0.0031,-0.0031
1.145,1.1,1.19,0.4819,0.0027,-0.0027,0.006,-0.006,0.0033,-0.0033
1.24,1.19,1.29,0.4388,0.0026,-0.0026,0.0047,-0.0047,0.0042,-0.0042
1.335,1.29,1.38,0.3915,0.0024,-0.0024,0.0033,-0.0033,0.0051,-0.0051
1.43,1.38,1.48,0.3517,0.0022,-0.0022,0.0026,-0.0026,0.0061,-0.0061
1.53,1.48,1.58,0.308,0.002,-0.002,0.002,-0.002,0.007,-0.007
1.625,1.58,1.67,0.273,0.0019,-0.0019,0.0015,-0.0015,0.0075,-0.0075
1.72,1.67,1.77,0.2399,0.0018,-0.0018,0.0013,-0.0013,0.0077,-0.0077
1.815,1.77,1.86,0.2096,0.0017,-0.0017,0.0016,-0.0016,0.0074,-0.0074
1.9100000000000001,1.86,1.96,0.1838,0.0015,-0.0015,0.0024,-0.0024,0.0073,-0.0073
2.005,1.96,2.05,0.1633,0.0014,-0.0014,0.0029,-0.0029,0.0071,-0.0071
2.0999999999999996,2.05,2.15,0.1418,0.0013,-0.0013,0.003,-0.003,0.0068,-0.0068
2.1950000000000003,2.15,2.24,0.1223,0.0013,-0.0013,0.0028,-0.0028,0.0063,-0.0063
2.29,2.24,2.34,0.1039,0.0012,-0.0012,0.0023,-0.0023,0.0057,-0.0057
2.3899999999999997,2.34,2.44,0.09,0.0011,-0.0011,0.0018,-0.0018,0.0053,-0.0053
2.485,2.44,2.53,0.07491,0.00099,-0.00099,0.00133,-0.00133,0.00527,-0.00527
2.58,2.53,2.63,0.06333,0.00091,-0.00091,0.00116,-0.00116,0.00552,-0.00552
2.7249999999999996,2.63,2.82,0.0477,0.0008,-0.0008,0.0006,-0.0006,0.0029,-0.0029
2.915,2.82,3.01,0.03257,0.00063,-0.00063,0.00057,-0.00057,0.00267,-0.00267
3.105,3.01,3.2,0.0214,0.0005,-0.0005,0.0007,-0.0007,0.0022,-0.0022
3.295,3.2,3.39,0.0147,0.0004,-0.0004,0.0008,-0.0008,0.0017,-0.0017
3.4850000000000003,3.39,3.58,0.00999,0.00036,-0.00036,0.00105,-0.00105,0.00136,-0.00136
3.725,3.58,3.87,0.00613,0.00028,-0.00028,0.00075,-0.00075,0.00075,-0.00075
4.105,3.87,4.34,0.00295,0.00017,-0.00017,0.00044,-0.00044,0.00035,-0.00035

