#: table_doi: 10.17182/hepdata.90831.v1/t99
#: name: table no 99
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transverse region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_99.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.092,0.0077,-0.0077,0.0088,-0.0088,0.0078,-0.0078
0.095,0.05,0.14,0.19,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.19,0.14,0.24,0.245,0.0099,-0.0099,0.0115,-0.0115,0.01,-0.01
0.28500000000000003,0.24,0.33,0.323,0.011,-0.011,0.013,-0.013,0.012,-0.012
0.38,0.33,0.43,0.381,0.011,-0.011,0.013,-0.013,0.013,-0.013
0.48,0.43,0.53,0.43,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.575,0.53,0.62,0.465,0.011,-0.011,0.013,-0.013,0.014,-0.014
0.6699999999999999,0.62,0.72,0.48,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.765,0.72,0.81,0.516,0.011,-0.011,0.013,-0.013,0.013,-0.013
0.8600000000000001,0.81,0.91,0.55,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.9550000000000001,0.91,1.0,0.533,0.011,-0.011,0.012,-0.012,0.01,-0.01
1.05,1.0,1.1,0.5216,0.0096,-0.0096,0.0103,-0.0103,0.0079,-0.0079
1.145,1.1,1.19,0.505,0.009,-0.009,0.009,-0.009,0.006,-0.006
1.24,1.19,1.29,0.4886,0.0086,-0.0086,0.0081,-0.0081,0.0055,-0.0055
1.335,1.29,1.38,0.4332,0.0081,-0.0081,0.0072,-0.0072,0.005,-0.005
1.43,1.38,1.48,0.4015,0.0079,-0.0079,0.007,-0.007,0.0052,-0.0052
1.53,1.48,1.58,0.3898,0.0084,-0.0084,0.0072,-0.0072,0.0052,-0.0052
1.625,1.58,1.67,0.3658,0.0078,-0.0078,0.0068,-0.0068,0.0052,-0.0052
1.72,1.67,1.77,0.3421,0.0072,-0.0072,0.0068,-0.0068,0.0054,-0.0054
1.815,1.77,1.86,0.3149,0.0071,-0.0071,0.0069,-0.0069,0.006,-0.006
1.9100000000000001,1.86,1.96,0.29,0.0065,-0.0065,0.0072,-0.0072,0.0071,-0.0071
2.005,1.96,2.05,0.2654,0.0062,-0.0062,0.0069,-0.0069,0.0071,-0.0071
2.0999999999999996,2.05,2.15,0.2429,0.0054,-0.0054,0.0071,-0.0071,0.0075,-0.0075
2.1950000000000003,2.15,2.24,0.2161,0.0056,-0.0056,0.0071,-0.0071,0.0073,-0.0073
2.29,2.24,2.34,0.1989,0.0058,-0.0058,0.0077,-0.0077,0.008,-0.008
2.3899999999999997,2.34,2.44,0.1639,0.0047,-0.0047,0.007,-0.007,0.0085,-0.0085
2.485,2.44,2.53,0.1465,0.0045,-0.0045,0.0068,-0.0068,0.01,-0.01
2.58,2.53,2.63,0.1259,0.0045,-0.0045,0.0064,-0.0064,0.0101,-0.0101
2.7249999999999996,2.63,2.82,0.0997,0.0033,-0.0033,0.0052,-0.0052,0.0047,-0.0047
2.915,2.82,3.01,0.0779,0.0035,-0.0035,0.005,-0.005,0.0039,-0.0039
3.105,3.01,3.2,0.0619,0.0028,-0.0028,0.0044,-0.0044,0.0035,-0.0035
3.295,3.2,3.39,0.0477,0.0024,-0.0024,0.0038,-0.0038,0.0035,-0.0035
3.4850000000000003,3.39,3.58,0.0367,0.0021,-0.0021,0.003,-0.003,0.0039,-0.0039
3.725,3.58,3.87,0.0256,0.0018,-0.0018,0.0021,-0.0021,0.0027,-0.0027
4.105,3.87,4.34,0.0166,0.0013,-0.0013,0.0014,-0.0014,0.0015,-0.0015

