#: table_doi: 10.17182/hepdata.55734.v1/t1
#: name: Table 1
#: description: Drell-Yan events. Charged particle density in the toward, transverse and away regions.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: DN/DETARAP/DPHI
#: keyword phrases: Inclusive | Single Differential Distribution | Azimuthal Angular Dependence | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Toward
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.3907,0.0315,-0.0315
7.5,5.0,10.0,0.4068,0.0328,-0.0328
12.5,10.0,15.0,0.415,0.0371,-0.0371
17.5,15.0,20.0,0.4356,0.029,-0.029
22.5,20.0,25.0,0.44,0.0399,-0.0399
27.5,25.0,30.0,0.4598,0.0279,-0.0279
32.5,30.0,35.0,0.4787,0.0516,-0.0516
37.5,35.0,40.0,0.4767,0.0438,-0.0438
42.5,40.0,45.0,0.4994,0.0347,-0.0347
47.5,45.0,50.0,0.4892,0.0581,-0.0581
52.5,50.0,55.0,0.5279,0.0785,-0.0785
57.5,55.0,60.0,0.4773,0.063,-0.063
62.5,60.0,65.0,0.5535,0.0701,-0.0701
67.5,65.0,70.0,0.5159,0.0983,-0.0983
72.5,70.0,75.0,0.4798,0.1411,-0.1411
77.5,75.0,80.0,0.5586,0.0828,-0.0828
82.5,80.0,85.0,0.5506,0.0859,-0.0859
87.5,85.0,90.0,0.5626,0.102,-0.102
92.5,90.0,95.0,0.6139,0.1417,-0.1417
97.5,95.0,100.0,0.4466,0.1921,-0.1921

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Transverse
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.4261,0.027,-0.027
7.5,5.0,10.0,0.4701,0.0272,-0.0272
12.5,10.0,15.0,0.499,0.0236,-0.0236
17.5,15.0,20.0,0.5209,0.0279,-0.0279
22.5,20.0,25.0,0.5523,0.0314,-0.0314
27.5,25.0,30.0,0.5898,0.0327,-0.0327
32.5,30.0,35.0,0.5803,0.0308,-0.0308
37.5,35.0,40.0,0.6135,0.0346,-0.0346
42.5,40.0,45.0,0.588,0.0393,-0.0393
47.5,45.0,50.0,0.6416,0.0516,-0.0516
52.5,50.0,55.0,0.6835,0.0514,-0.0514
57.5,55.0,60.0,0.598,0.0631,-0.0631
62.5,60.0,65.0,0.695,0.0712,-0.0712
67.5,65.0,70.0,0.718,0.0853,-0.0853
72.5,70.0,75.0,0.6832,0.1027,-0.1027
77.5,75.0,80.0,0.7014,0.086,-0.086
82.5,80.0,85.0,0.629,0.1189,-0.1189
87.5,85.0,90.0,0.6684,0.0977,-0.0977
92.5,90.0,95.0,0.6562,0.1048,-0.1048
97.5,95.0,100.0,0.6116,0.1836,-0.1836

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Away
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.4831,0.0291,-0.0291
7.5,5.0,10.0,0.6615,0.0209,-0.0209
12.5,10.0,15.0,0.8435,0.0262,-0.0262
17.5,15.0,20.0,1.0201,0.0256,-0.0256
22.5,20.0,25.0,1.1607,0.0305,-0.0305
27.5,25.0,30.0,1.3119,0.0342,-0.0342
32.5,30.0,35.0,1.439,0.0439,-0.0439
37.5,35.0,40.0,1.531,0.056,-0.056
42.5,40.0,45.0,1.5941,0.0604,-0.0604
47.5,45.0,50.0,1.7308,0.0698,-0.0698
52.5,50.0,55.0,1.7908,0.0843,-0.0843
57.5,55.0,60.0,1.8717,0.0933,-0.0933
62.5,60.0,65.0,2.0305,0.108,-0.108
67.5,65.0,70.0,2.068,0.1244,-0.1244
72.5,70.0,75.0,2.1237,0.1488,-0.1488
77.5,75.0,80.0,2.3481,0.1694,-0.1694
82.5,80.0,85.0,2.3937,0.2079,-0.2079
87.5,85.0,90.0,2.2079,0.2245,-0.2245
92.5,90.0,95.0,2.3772,0.2389,-0.2389
97.5,95.0,100.0,2.6714,0.3277,-0.3277

