#: table_doi: 10.17182/hepdata.55734.v1/t10
#: name: Table 10
#: description: Leading Jet events. Charged particle density in the toward, transverse and away regions.

#: data_file: Table10.yaml
#: keyword reactions: PBAR P --> JET CHARGED X
#: keyword observables: DN/DETARAP/DPHI
#: keyword phrases: Inclusive | Single Differential Distribution | Azimuthal Angular Dependence | Jet Production
#: keyword cmenergies: 1960.0
#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,Toward
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.4854,0.283,-0.283
7.5,5.0,10.0,0.6363,0.1875,-0.1875
12.5,10.0,15.0,1.0357,0.2165,-0.2165
17.5,15.0,20.0,1.337,0.1755,-0.1755
22.5,20.0,25.0,1.5187,0.0903,-0.0903
27.5,25.0,30.0,1.599,0.0664,-0.0664
32.5,30.0,35.0,1.676,0.065,-0.065
37.5,35.0,40.0,1.7075,0.0518,-0.0518
45.0,40.0,50.0,1.7846,0.05,-0.05
55.0,50.0,60.0,1.8886,0.0545,-0.0545
65.0,60.0,70.0,1.9752,0.0659,-0.0659
75.0,70.0,80.0,2.0492,0.0776,-0.0776
85.0,80.0,90.0,2.1315,0.0898,-0.0898
95.0,90.0,100.0,2.2102,0.1015,-0.1015
105.0,100.0,110.0,2.2996,0.1123,-0.1123
115.0,110.0,120.0,2.3947,0.1234,-0.1234
125.0,120.0,130.0,2.4678,0.1334,-0.1334
135.0,130.0,140.0,2.5657,0.1437,-0.1437
145.0,140.0,150.0,2.6566,0.1536,-0.1536
155.0,150.0,160.0,2.7342,0.1634,-0.1634
165.0,160.0,170.0,2.8197,0.1729,-0.1729
175.0,170.0,180.0,2.8904,0.1826,-0.1826
185.0,180.0,190.0,2.9637,0.192,-0.192
195.0,190.0,200.0,3.0324,0.2025,-0.2025
210.0,200.0,220.0,-,0,0
230.0,220.0,240.0,-,0,0
250.0,240.0,260.0,-,0,0
270.0,260.0,280.0,-,0,0
290.0,280.0,300.0,-,0,0
310.0,300.0,320.0,-,0,0
330.0,320.0,340.0,-,0,0
350.0,340.0,360.0,-,0,0
370.0,360.0,380.0,-,0,0
390.0,380.0,400.0,-,0,0

#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,Transverse
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.3054,0.0428,-0.0428
7.5,5.0,10.0,0.4169,0.0783,-0.0783
12.5,10.0,15.0,0.6551,0.1243,-0.1243
17.5,15.0,20.0,0.7869,0.1528,-0.1528
22.5,20.0,25.0,0.7919,0.1217,-0.1217
27.5,25.0,30.0,0.7762,0.0353,-0.0353
32.5,30.0,35.0,0.7406,0.0318,-0.0318
37.5,35.0,40.0,0.7164,0.0239,-0.0239
45.0,40.0,50.0,0.7147,0.0225,-0.0225
55.0,50.0,60.0,0.7174,0.0234,-0.0234
65.0,60.0,70.0,0.7214,0.0249,-0.0249
75.0,70.0,80.0,0.7252,0.0254,-0.0254
85.0,80.0,90.0,0.7343,0.0254,-0.0254
95.0,90.0,100.0,0.7399,0.0265,-0.0265
105.0,100.0,110.0,0.7464,0.0255,-0.0255
115.0,110.0,120.0,0.7513,0.0259,-0.0259
125.0,120.0,130.0,0.7551,0.0254,-0.0254
135.0,130.0,140.0,0.766,0.0284,-0.0284
145.0,140.0,150.0,0.7689,0.0291,-0.0291
155.0,150.0,160.0,0.7728,0.0288,-0.0288
165.0,160.0,170.0,0.775,0.0302,-0.0302
175.0,170.0,180.0,0.7782,0.031,-0.031
185.0,180.0,190.0,0.7765,0.0328,-0.0328
195.0,190.0,200.0,0.7846,0.0293,-0.0293
210.0,200.0,220.0,0.7756,0.0322,-0.0322
230.0,220.0,240.0,0.7878,0.0331,-0.0331
250.0,240.0,260.0,0.7654,0.0442,-0.0442
270.0,260.0,280.0,0.7893,0.0359,-0.0359
290.0,280.0,300.0,0.7706,0.0457,-0.0457
310.0,300.0,320.0,0.7596,0.0454,-0.0454
330.0,320.0,340.0,0.7634,0.0426,-0.0426
350.0,340.0,360.0,0.7244,0.0454,-0.0454
370.0,360.0,380.0,0.7523,0.0649,-0.0649
390.0,380.0,400.0,0.6556,0.1005,-0.1005

#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,Away
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.3749,0.1708,-0.1708
7.5,5.0,10.0,0.5008,0.1551,-0.1551
12.5,10.0,15.0,0.8385,0.1601,-0.1601
17.5,15.0,20.0,1.0538,0.1727,-0.1727
22.5,20.0,25.0,1.221,0.103,-0.103
27.5,25.0,30.0,1.3553,0.0858,-0.0858
32.5,30.0,35.0,1.4609,0.0833,-0.0833
37.5,35.0,40.0,1.4964,0.073,-0.073
45.0,40.0,50.0,1.6127,0.0682,-0.0682
55.0,50.0,60.0,1.7804,0.0686,-0.0686
65.0,60.0,70.0,1.9508,0.0792,-0.0792
75.0,70.0,80.0,2.0929,0.0889,-0.0889
85.0,80.0,90.0,2.2344,0.0987,-0.0987
95.0,90.0,100.0,2.3699,0.1084,-0.1084
105.0,100.0,110.0,2.5171,0.1188,-0.1188
115.0,110.0,120.0,2.6264,0.1286,-0.1286
125.0,120.0,130.0,2.7347,0.1392,-0.1392
135.0,130.0,140.0,2.8596,0.1506,-0.1506
145.0,140.0,150.0,2.9606,0.162,-0.162
155.0,150.0,160.0,3.0438,0.1732,-0.1732
165.0,160.0,170.0,3.1423,0.1853,-0.1853
175.0,170.0,180.0,3.2299,0.1976,-0.1976
185.0,180.0,190.0,3.3245,0.2108,-0.2108
195.0,190.0,200.0,3.3898,0.2221,-0.2221
