#: table_doi: 10.17182/hepdata.55734.v1/t11
#: name: Table 11
#: description: Leading Jet events. Charged particle density in the transMAX, transMIN and transDIF regions.

#: data_file: Table11.yaml
#: keyword reactions: PBAR P --> JET CHARGED X
#: keyword observables: DN/DETARAP/DPHI
#: keyword phrases: Inclusive | Single Differential Distribution | Azimuthal Angular Dependence | Jet Production
#: keyword cmenergies: 1960.0
#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,TransMAX
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.4889,0.0582,-0.0582
7.5,5.0,10.0,0.6414,0.1397,-0.1397
12.5,10.0,15.0,0.9569,0.2143,-0.2143
17.5,15.0,20.0,1.1125,0.2712,-0.2712
22.5,20.0,25.0,1.1259,0.2025,-0.2025
27.5,25.0,30.0,1.1127,0.0632,-0.0632
32.5,30.0,35.0,1.0765,0.0587,-0.0587
37.5,35.0,40.0,1.0549,0.043,-0.043
45.0,40.0,50.0,1.0606,0.0376,-0.0376
55.0,50.0,60.0,1.0752,0.0362,-0.0362
65.0,60.0,70.0,1.0887,0.039,-0.039
75.0,70.0,80.0,1.1007,0.038,-0.038
85.0,80.0,90.0,1.1197,0.0367,-0.0367
95.0,90.0,100.0,1.132,0.0394,-0.0394
105.0,100.0,110.0,1.1438,0.0379,-0.0379
115.0,110.0,120.0,1.1546,0.0409,-0.0409
125.0,120.0,130.0,1.1661,0.0399,-0.0399
135.0,130.0,140.0,1.1819,0.0466,-0.0466
145.0,140.0,150.0,1.1892,0.0491,-0.0491
155.0,150.0,160.0,1.1987,0.0499,-0.0499
165.0,160.0,170.0,1.2042,0.0524,-0.0524
175.0,170.0,180.0,1.2109,0.0548,-0.0548
185.0,180.0,190.0,1.2112,0.0583,-0.0583
195.0,190.0,200.0,1.2267,0.0525,-0.0525
210.0,200.0,220.0,1.215,0.0585,-0.0585
230.0,220.0,240.0,1.2379,0.0573,-0.0573
250.0,240.0,260.0,1.2125,0.0789,-0.0789
270.0,260.0,280.0,1.2468,0.0658,-0.0658
290.0,280.0,300.0,1.2236,0.0842,-0.0842
310.0,300.0,320.0,1.2032,0.0812,-0.0812
330.0,320.0,340.0,1.215,0.077,-0.077
350.0,340.0,360.0,1.1537,0.0843,-0.0843
