#: table_doi: 10.17182/hepdata.55734.v1/t12
#: name: Table 12
#: description: Leading Jet events. Charged particle PTsum density in the toward, transverse and away regions.

#: data_file: Table12.yaml
#: keyword reactions: PBAR P --> JET CHARGED X
#: keyword observables: DPT/DETARAP/DPHI
#: keyword phrases: Inclusive | Transverse Momentum Dependence | Azimuthal Angular Dependence | Jet Production
#: keyword cmenergies: 1960.0
#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,Toward
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.5045,0.3192,-0.3192
7.5,5.0,10.0,0.6643,0.2293,-0.2293
12.5,10.0,15.0,1.1898,0.2399,-0.2399
17.5,15.0,20.0,1.6493,0.2938,-0.2938
22.5,20.0,25.0,2.0951,0.2705,-0.2705
27.5,25.0,30.0,2.5454,0.3291,-0.3291
32.5,30.0,35.0,3.0357,0.4074,-0.4074
37.5,35.0,40.0,3.3921,0.4742,-0.4742
45.0,40.0,50.0,3.9811,0.5401,-0.5401
55.0,50.0,60.0,4.8931,0.584,-0.584
65.0,60.0,70.0,5.7963,0.6134,-0.6134
75.0,70.0,80.0,6.7281,0.6344,-0.6344
85.0,80.0,90.0,7.6957,0.6646,-0.6646
95.0,90.0,100.0,8.7301,0.713,-0.713
105.0,100.0,110.0,9.863,0.7822,-0.7822
115.0,110.0,120.0,11.0376,0.8736,-0.8736
125.0,120.0,130.0,12.189,0.9773,-0.9773
135.0,130.0,140.0,13.4555,1.0962,-1.0962
145.0,140.0,150.0,14.7349,1.2302,-1.2302
155.0,150.0,160.0,15.7449,1.4518,-1.4518
165.0,160.0,170.0,16.9559,1.6241,-1.6241
175.0,170.0,180.0,18.1089,1.77,-1.77
185.0,180.0,190.0,19.47,1.8816,-1.8816
195.0,190.0,200.0,20.6237,2.0063,-2.0063
210.0,200.0,220.0,-,0,0
230.0,220.0,240.0,-,0,0
250.0,240.0,260.0,-,0,0
270.0,260.0,280.0,-,0,0
290.0,280.0,300.0,-,0,0
310.0,300.0,320.0,-,0,0
330.0,320.0,340.0,-,0,0
350.0,340.0,360.0,-,0,0
370.0,360.0,380.0,-,0,0
390.0,380.0,400.0,-,0,0

#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,Transverse
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.2581,0.0715,-0.0715
7.5,5.0,10.0,0.3735,0.0872,-0.0872
12.5,10.0,15.0,0.6447,0.1221,-0.1221
17.5,15.0,20.0,0.807,0.1431,-0.1431
22.5,20.0,25.0,0.8453,0.1038,-0.1038
27.5,25.0,30.0,0.8408,0.0371,-0.0371
32.5,30.0,35.0,0.8403,0.0386,-0.0386
37.5,35.0,40.0,0.805,0.0262,-0.0262
45.0,40.0,50.0,0.8194,0.0259,-0.0259
55.0,50.0,60.0,0.8533,0.0279,-0.0279
65.0,60.0,70.0,0.8953,0.0305,-0.0305
75.0,70.0,80.0,0.9223,0.0311,-0.0311
85.0,80.0,90.0,0.9688,0.0302,-0.0302
95.0,90.0,100.0,1.0093,0.0305,-0.0305
105.0,100.0,110.0,1.0375,0.0286,-0.0286
115.0,110.0,120.0,1.0747,0.029,-0.029
125.0,120.0,130.0,1.101,0.0269,-0.0269
135.0,130.0,140.0,1.1426,0.0278,-0.0278
145.0,140.0,150.0,1.1691,0.0282,-0.0282
155.0,150.0,160.0,1.1993,0.0274,-0.0274
165.0,160.0,170.0,1.2198,0.029,-0.029
175.0,170.0,180.0,1.2495,0.0291,-0.0291
185.0,180.0,190.0,1.2647,0.0308,-0.0308
195.0,190.0,200.0,1.2881,0.0287,-0.0287
210.0,200.0,220.0,1.2957,0.0299,-0.0299
230.0,220.0,240.0,1.3352,0.039,-0.039
250.0,240.0,260.0,1.3097,0.0486,-0.0486
270.0,260.0,280.0,1.3685,0.0513,-0.0513
290.0,280.0,300.0,1.3935,0.0812,-0.0812
310.0,300.0,320.0,1.4607,0.0902,-0.0902
330.0,320.0,340.0,1.4082,0.1124,-0.1124
350.0,340.0,360.0,1.097,0.1263,-0.1263
370.0,360.0,380.0,1.3123,0.1738,-0.1738
390.0,380.0,400.0,1.4878,0.4646,-0.4646

#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: REGION,,,Away
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.3269,0.1621,-0.1621
7.5,5.0,10.0,0.4659,0.1698,-0.1698
12.5,10.0,15.0,0.8712,0.1644,-0.1644
17.5,15.0,20.0,1.2208,0.1709,-0.1709
22.5,20.0,25.0,1.4317,0.221,-0.221
27.5,25.0,30.0,1.8061,0.2396,-0.2396
32.5,30.0,35.0,2.2376,0.2565,-0.2565
37.5,35.0,40.0,2.5077,0.2639,-0.2639
45.0,40.0,50.0,2.9944,0.2804,-0.2804
55.0,50.0,60.0,3.7353,0.3233,-0.3233
65.0,60.0,70.0,4.5492,0.4251,-0.4251
75.0,70.0,80.0,5.3249,0.5309,-0.5309
85.0,80.0,90.0,6.1772,0.6387,-0.6387
95.0,90.0,100.0,7.0911,0.7433,-0.7433
105.0,100.0,110.0,8.0787,0.8459,-0.8459
115.0,110.0,120.0,9.0394,0.9405,-0.9405
125.0,120.0,130.0,10.0228,1.0317,-1.0317
135.0,130.0,140.0,11.1405,1.1266,-1.1266
145.0,140.0,150.0,12.2121,1.2163,-1.2163
155.0,150.0,160.0,13.3266,1.3091,-1.3091
165.0,160.0,170.0,14.5298,1.4112,-1.4112
175.0,170.0,180.0,15.7258,1.5193,-1.5193
185.0,180.0,190.0,16.9376,1.6389,-1.6389
195.0,190.0,200.0,18.0113,1.7984,-1.7984
210.0,200.0,220.0,-,0,0
230.0,220.0,240.0,-,0,0
250.0,240.0,260.0,-,0,0
270.0,260.0,280.0,-,0,0
290.0,280.0,300.0,-,0,0
310.0,300.0,320.0,-,0,0
330.0,320.0,340.0,-,0,0
350.0,340.0,360.0,-,0,0
370.0,360.0,380.0,-,0,0
390.0,380.0,400.0,-,0,0

