#: table_doi: 10.17182/hepdata.55734.v1/t14
#: name: Table 14
#: description: Leading Jet events. Charged particle average PT .

#: data_file: Table14.yaml
#: keyword reactions: PBAR P --> JET CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Jet Production
#: keyword cmenergies: 1960.0
#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,MEAN(NAME=PT) [GEV],error +,error -
2.5,0.0,5.0,0.8473,0.0465,-0.0465
7.5,5.0,10.0,0.8891,0.0438,-0.0438
12.5,10.0,15.0,0.9621,0.0217,-0.0217
17.5,15.0,20.0,1.0086,0.0404,-0.0404
22.5,20.0,25.0,1.0367,0.0401,-0.0401
27.5,25.0,30.0,1.0445,0.0375,-0.0375
32.5,30.0,35.0,1.0981,0.0501,-0.0501
37.5,35.0,40.0,1.09,0.0328,-0.0328
45.0,40.0,50.0,1.1077,0.03,-0.03
55.0,50.0,60.0,1.1362,0.027,-0.027
65.0,60.0,70.0,1.1613,0.0272,-0.0272
75.0,70.0,80.0,1.1835,0.0291,-0.0291
85.0,80.0,90.0,1.2084,0.0289,-0.0289
95.0,90.0,100.0,1.2318,0.0334,-0.0334
105.0,100.0,110.0,1.2474,0.0328,-0.0328
115.0,110.0,120.0,1.2682,0.0324,-0.0324
125.0,120.0,130.0,1.2833,0.0361,-0.0361
135.0,130.0,140.0,1.3004,0.0377,-0.0377
145.0,140.0,150.0,1.316,0.0376,-0.0376
155.0,150.0,160.0,1.3325,0.0385,-0.0385
165.0,160.0,170.0,1.344,0.0393,-0.0393
175.0,170.0,180.0,1.3605,0.0388,-0.0388
185.0,180.0,190.0,1.3722,0.0422,-0.0422
195.0,190.0,200.0,1.3775,0.0422,-0.0422
210.0,200.0,220.0,1.3963,0.0448,-0.0448
230.0,220.0,240.0,1.4112,0.038,-0.038
250.0,240.0,260.0,1.4009,0.0513,-0.0513
270.0,260.0,280.0,1.4401,0.0414,-0.0414
290.0,280.0,300.0,1.4511,0.0398,-0.0398
310.0,300.0,320.0,1.4889,0.0906,-0.0906
330.0,320.0,340.0,1.5331,0.0691,-0.0691
350.0,340.0,360.0,1.2673,0.0605,-0.0605
370.0,360.0,380.0,1.385,0.0752,-0.0752
390.0,380.0,400.0,1.4586,0.2111,-0.2111

