#: table_doi: 10.17182/hepdata.55734.v1/t15
#: name: Table 15
#: description: Leading Jet events. Charged particle average PTMAX .

#: data_file: Table15.yaml
#: keyword reactions: PBAR P --> JET CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Jet Production
#: keyword cmenergies: 1960.0
#: ETARAP(P=4),,,-1.0-1.0
#: PT(P=4) [GEV],,,> 0.5
#: RE,,,PBAR P --> JET CHARGED X
#: SQRT(S) [GeV],,,1960.0
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,MEAN(NAME=PTMAX) [GEV],error +,error -
2.5,0.0,5.0,0.9807,0.1466,-0.1466
7.5,5.0,10.0,1.1007,0.0849,-0.0849
12.5,10.0,15.0,1.3359,0.0908,-0.0908
17.5,15.0,20.0,1.5189,0.0634,-0.0634
22.5,20.0,25.0,1.5484,0.0533,-0.0533
27.5,25.0,30.0,1.5507,0.0564,-0.0564
32.5,30.0,35.0,1.662,0.0465,-0.0465
37.5,35.0,40.0,1.6235,0.0347,-0.0347
45.0,40.0,50.0,1.6723,0.0251,-0.0251
55.0,50.0,60.0,1.7577,0.0247,-0.0247
65.0,60.0,70.0,1.8561,0.0379,-0.0379
75.0,70.0,80.0,1.9153,0.045,-0.045
85.0,80.0,90.0,2.0025,0.0497,-0.0497
95.0,90.0,100.0,2.0828,0.0528,-0.0528
105.0,100.0,110.0,2.1382,0.0576,-0.0576
115.0,110.0,120.0,2.2081,0.0551,-0.0551
125.0,120.0,130.0,2.2623,0.0613,-0.0613
135.0,130.0,140.0,2.3287,0.0591,-0.0591
145.0,140.0,150.0,2.3818,0.0562,-0.0562
155.0,150.0,160.0,2.4398,0.059,-0.059
165.0,160.0,170.0,2.4815,0.0558,-0.0558
175.0,170.0,180.0,2.5467,0.0556,-0.0556
185.0,180.0,190.0,2.5734,0.055,-0.055
195.0,190.0,200.0,2.6155,0.0558,-0.0558
210.0,200.0,220.0,2.6391,0.0517,-0.0517
230.0,220.0,240.0,2.7018,0.049,-0.049
250.0,240.0,260.0,2.67,0.0545,-0.0545
270.0,260.0,280.0,2.7603,0.0707,-0.0707
290.0,280.0,300.0,2.8011,0.1064,-0.1064
310.0,300.0,320.0,3.1799,0.2074,-0.2074
330.0,320.0,340.0,2.8898,0.1896,-0.1896
350.0,340.0,360.0,2.1585,0.1735,-0.1735
370.0,360.0,380.0,2.646,0.289,-0.289
390.0,380.0,400.0,3.2305,0.7645,-0.7645

