#: table_doi: 10.17182/hepdata.55734.v1/t2
#: name: Table 2
#: description: Drell-Yan events. Charged particle density in the transMAX, transMIN and transDIF regions.

#: data_file: Table2.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: DN/DETARAP/DPHI
#: keyword phrases: Inclusive | Single Differential Distribution | Azimuthal Angular Dependence | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,TransMAX
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.6472,0.0273,-0.0273
7.5,5.0,10.0,0.7004,0.0247,-0.0247
12.5,10.0,15.0,0.7439,0.028,-0.028
17.5,15.0,20.0,0.7799,0.0323,-0.0323
22.5,20.0,25.0,0.8263,0.0396,-0.0396
27.5,25.0,30.0,0.8927,0.0344,-0.0344
32.5,30.0,35.0,0.8712,0.0439,-0.0439
37.5,35.0,40.0,0.8756,0.0539,-0.0539
42.5,40.0,45.0,0.9345,0.0483,-0.0483
47.5,45.0,50.0,0.9137,0.0715,-0.0715
52.5,50.0,55.0,1.005,0.0879,-0.0879
57.5,55.0,60.0,0.9223,0.0892,-0.0892
62.5,60.0,65.0,1.0496,0.0983,-0.0983
67.5,65.0,70.0,1.0857,0.1215,-0.1215
72.5,70.0,75.0,0.9852,0.1146,-0.1146
77.5,75.0,80.0,1.1769,0.1457,-0.1457
82.5,80.0,85.0,0.9874,0.1875,-0.1875
87.5,85.0,90.0,0.9671,0.1574,-0.1574
92.5,90.0,95.0,0.9965,0.1835,-0.1835
97.5,95.0,100.0,1.0287,0.2265,-0.2265

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,TransMIN
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.205,0.0467,-0.0467
7.5,5.0,10.0,0.2236,0.0485,-0.0485
12.5,10.0,15.0,0.2433,0.0379,-0.0379
17.5,15.0,20.0,0.2465,0.0455,-0.0455
22.5,20.0,25.0,0.2564,0.0487,-0.0487
27.5,25.0,30.0,0.2731,0.0556,-0.0556
32.5,30.0,35.0,0.2731,0.0432,-0.0432
37.5,35.0,40.0,0.2769,0.0434,-0.0434
42.5,40.0,45.0,0.2831,0.0621,-0.0621
47.5,45.0,50.0,0.2683,0.0744,-0.0744
52.5,50.0,55.0,0.2975,0.0533,-0.0533
57.5,55.0,60.0,0.2599,0.0893,-0.0893
62.5,60.0,65.0,0.3144,0.1032,-0.1032
67.5,65.0,70.0,0.3399,0.1198,-0.1198
72.5,70.0,75.0,0.2824,0.1703,-0.1703
77.5,75.0,80.0,0.2995,0.0915,-0.0915
82.5,80.0,85.0,0.3049,0.1462,-0.1462
87.5,85.0,90.0,0.242,0.1157,-0.1157
92.5,90.0,95.0,0.2683,0.1014,-0.1014
97.5,95.0,100.0,0.3307,0.2891,-0.2891

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,TransDIF
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(N)/DETARAP(P=5)/DPHI(P=5),error +,error -
2.5,0.0,5.0,0.4422,0.0541,-0.0541
7.5,5.0,10.0,0.4768,0.0544,-0.0544
12.5,10.0,15.0,0.5006,0.0471,-0.0471
17.5,15.0,20.0,0.5334,0.0558,-0.0558
22.5,20.0,25.0,0.5699,0.0627,-0.0627
27.5,25.0,30.0,0.6196,0.0654,-0.0654
32.5,30.0,35.0,0.5981,0.0616,-0.0616
37.5,35.0,40.0,0.5987,0.0692,-0.0692
42.5,40.0,45.0,0.6515,0.0787,-0.0787
47.5,45.0,50.0,0.6455,0.1032,-0.1032
52.5,50.0,55.0,0.7074,0.1028,-0.1028
57.5,55.0,60.0,0.6624,0.1262,-0.1262
62.5,60.0,65.0,0.7352,0.1425,-0.1425
67.5,65.0,70.0,0.7458,0.1706,-0.1706
72.5,70.0,75.0,0.7028,0.2053,-0.2053
77.5,75.0,80.0,0.8774,0.172,-0.172
82.5,80.0,85.0,0.6826,0.2377,-0.2377
87.5,85.0,90.0,0.7251,0.1954,-0.1954
92.5,90.0,95.0,0.7281,0.2097,-0.2097
97.5,95.0,100.0,0.698,0.3673,-0.3673

