#: table_doi: 10.17182/hepdata.55734.v1/t3
#: name: Table 3
#: description: Drell-Yan events. Charged particle PTsum density in the toward, transverse and away regions.

#: data_file: Table3.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: DPT/DETARAP/DPHI
#: keyword phrases: Inclusive | Transverse Momentum Dependence | Azimuthal Angular Dependence | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Toward
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.3902,0.0268,-0.0268
7.5,5.0,10.0,0.4143,0.032,-0.032
12.5,10.0,15.0,0.4373,0.035,-0.035
17.5,15.0,20.0,0.4662,0.0324,-0.0324
22.5,20.0,25.0,0.4876,0.0513,-0.0513
27.5,25.0,30.0,0.5181,0.0317,-0.0317
32.5,30.0,35.0,0.5685,0.0531,-0.0531
37.5,35.0,40.0,0.5679,0.0691,-0.0691
42.5,40.0,45.0,0.6122,0.0559,-0.0559
47.5,45.0,50.0,0.5791,0.0664,-0.0664
52.5,50.0,55.0,0.6418,0.1076,-0.1076
57.5,55.0,60.0,0.5871,0.0891,-0.0891
62.5,60.0,65.0,0.7517,0.1677,-0.1677
67.5,65.0,70.0,0.6203,0.1457,-0.1457
72.5,70.0,75.0,0.6939,0.2029,-0.2029
77.5,75.0,80.0,0.7649,0.199,-0.199
82.5,80.0,85.0,0.6646,0.182,-0.182
87.5,85.0,90.0,0.7921,0.2712,-0.2712
92.5,90.0,95.0,0.9146,0.2948,-0.2948
97.5,95.0,100.0,0.7288,0.4521,-0.4521

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Transverse
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.431,0.0229,-0.0229
7.5,5.0,10.0,0.474,0.0268,-0.0268
12.5,10.0,15.0,0.5379,0.0233,-0.0233
17.5,15.0,20.0,0.5817,0.027,-0.027
22.5,20.0,25.0,0.6322,0.0363,-0.0363
27.5,25.0,30.0,0.7298,0.0416,-0.0416
32.5,30.0,35.0,0.727,0.0502,-0.0502
37.5,35.0,40.0,0.7509,0.0662,-0.0662
42.5,40.0,45.0,0.8256,0.0863,-0.0863
47.5,45.0,50.0,0.826,0.1222,-0.1222
52.5,50.0,55.0,0.9072,0.1105,-0.1105
57.5,55.0,60.0,0.8926,0.1617,-0.1617
62.5,60.0,65.0,0.9657,0.1446,-0.1446
67.5,65.0,70.0,1.185,0.2058,-0.2058
72.5,70.0,75.0,1.1764,0.3076,-0.3076
77.5,75.0,80.0,1.1319,0.1904,-0.1904
82.5,80.0,85.0,1.3014,0.4866,-0.4866
87.5,85.0,90.0,0.9588,0.344,-0.344
92.5,90.0,95.0,0.9355,0.1842,-0.1842
97.5,95.0,100.0,1.2085,0.4749,-0.4749

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Away
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.4935,0.0255,-0.0255
7.5,5.0,10.0,0.7454,0.017,-0.017
12.5,10.0,15.0,1.0959,0.0276,-0.0276
17.5,15.0,20.0,1.51,0.0304,-0.0304
22.5,20.0,25.0,1.9492,0.0473,-0.0473
27.5,25.0,30.0,2.4059,0.0683,-0.0683
32.5,30.0,35.0,2.8502,0.0952,-0.0952
37.5,35.0,40.0,3.4141,0.1272,-0.1272
42.5,40.0,45.0,3.6718,0.1588,-0.1588
47.5,45.0,50.0,4.3813,0.2039,-0.2039
52.5,50.0,55.0,4.8891,0.2778,-0.2778
57.5,55.0,60.0,5.2759,0.3057,-0.3057
62.5,60.0,65.0,6.2363,0.4094,-0.4094
67.5,65.0,70.0,6.7775,0.5035,-0.5035
72.5,70.0,75.0,7.2516,0.6562,-0.6562
77.5,75.0,80.0,7.7634,0.6611,-0.6611
82.5,80.0,85.0,8.224,0.8582,-0.8582
87.5,85.0,90.0,8.6454,0.9187,-0.9187
92.5,90.0,95.0,8.8879,0.9914,-0.9914
97.5,95.0,100.0,9.9282,1.3073,-1.3073

