#: table_doi: 10.17182/hepdata.55734.v1/t4
#: name: Table 4
#: description: Drell-Yan events. Charged particle PTsum density in the transMAX, transMIN and transDIF regions.

#: data_file: Table4.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: DPT/DETARAP/DPHI
#: keyword phrases: Inclusive | Transverse Momentum Dependence | Azimuthal Angular Dependence | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,TransMAX
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.6757,0.0234,-0.0234
7.5,5.0,10.0,0.7432,0.0251,-0.0251
12.5,10.0,15.0,0.8425,0.0262,-0.0262
17.5,15.0,20.0,0.9235,0.0355,-0.0355
22.5,20.0,25.0,1.0086,0.0509,-0.0509
27.5,25.0,30.0,1.1785,0.0675,-0.0675
32.5,30.0,35.0,1.1624,0.0908,-0.0908
37.5,35.0,40.0,1.1949,0.1107,-0.1107
42.5,40.0,45.0,1.3396,0.1321,-0.1321
47.5,45.0,50.0,1.3738,0.2114,-0.2114
52.5,50.0,55.0,1.5162,0.207,-0.207
57.5,55.0,60.0,1.4868,0.226,-0.226
62.5,60.0,65.0,1.6287,0.2437,-0.2437
67.5,65.0,70.0,2.0144,0.3918,-0.3918
72.5,70.0,75.0,1.9646,0.5886,-0.5886
77.5,75.0,80.0,1.8944,0.3572,-0.3572
82.5,80.0,85.0,2.0139,0.8767,-0.8767
87.5,85.0,90.0,1.6986,0.6766,-0.6766
92.5,90.0,95.0,1.4984,0.3365,-0.3365
97.5,95.0,100.0,1.8654,0.708,-0.708

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,TransMIN
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.1863,0.0393,-0.0393
7.5,5.0,10.0,0.2048,0.0473,-0.0473
12.5,10.0,15.0,0.2334,0.0386,-0.0386
17.5,15.0,20.0,0.2399,0.0406,-0.0406
22.5,20.0,25.0,0.2557,0.0519,-0.0519
27.5,25.0,30.0,0.2811,0.0486,-0.0486
32.5,30.0,35.0,0.2916,0.0429,-0.0429
37.5,35.0,40.0,0.3068,0.0726,-0.0726
42.5,40.0,45.0,0.3117,0.1112,-0.1112
47.5,45.0,50.0,0.2782,0.1227,-0.1227
52.5,50.0,55.0,0.2983,0.0773,-0.0773
57.5,55.0,60.0,0.2984,0.2314,-0.2314
62.5,60.0,65.0,0.3027,0.1556,-0.1556
67.5,65.0,70.0,0.3556,0.1261,-0.1261
72.5,70.0,75.0,0.3882,0.1793,-0.1793
77.5,75.0,80.0,0.3695,0.132,-0.132
82.5,80.0,85.0,0.5888,0.4225,-0.4225
87.5,85.0,90.0,0.2191,0.1242,-0.1242
92.5,90.0,95.0,0.3726,0.1499,-0.1499
97.5,95.0,100.0,0.5515,0.6333,-0.6333

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,TransDIF
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,D(PT)/DETARAP(P=5)/DPHI(P=5) [GEV],error +,error -
2.5,0.0,5.0,0.4894,0.0457,-0.0457
7.5,5.0,10.0,0.5385,0.0535,-0.0535
12.5,10.0,15.0,0.609,0.0467,-0.0467
17.5,15.0,20.0,0.6836,0.054,-0.054
22.5,20.0,25.0,0.7529,0.0727,-0.0727
27.5,25.0,30.0,0.8974,0.0832,-0.0832
32.5,30.0,35.0,0.8708,0.1005,-0.1005
37.5,35.0,40.0,0.8881,0.1324,-0.1324
42.5,40.0,45.0,1.0279,0.1727,-0.1727
47.5,45.0,50.0,1.0956,0.2444,-0.2444
52.5,50.0,55.0,1.218,0.2209,-0.2209
57.5,55.0,60.0,1.1883,0.3235,-0.3235
62.5,60.0,65.0,1.3259,0.2891,-0.2891
67.5,65.0,70.0,1.6587,0.4116,-0.4116
72.5,70.0,75.0,1.5765,0.6153,-0.6153
77.5,75.0,80.0,1.5248,0.3808,-0.3808
82.5,80.0,85.0,1.4251,0.9732,-0.9732
87.5,85.0,90.0,1.4795,0.6879,-0.6879
92.5,90.0,95.0,1.1259,0.3684,-0.3684
97.5,95.0,100.0,1.3139,0.9499,-0.9499

