#: table_doi: 10.17182/hepdata.55734.v1/t5
#: name: Table 5
#: description: Drell-Yan events. Charged particle average PT in the toward and transverse regions.

#: data_file: Table5.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Toward
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,MEAN(NAME=PT) [GEV],error +,error -
2.5,0.0,5.0,0.9646,0.0129,-0.0129
7.5,5.0,10.0,0.977,0.0103,-0.0103
12.5,10.0,15.0,1.0011,0.0147,-0.0147
17.5,15.0,20.0,1.0213,0.0289,-0.0289
22.5,20.0,25.0,1.0294,0.0248,-0.0248
27.5,25.0,30.0,1.0492,0.0275,-0.0275
32.5,30.0,35.0,1.063,0.039,-0.039
37.5,35.0,40.0,1.0603,0.0487,-0.0487
42.5,40.0,45.0,1.1152,0.0694,-0.0694
47.5,45.0,50.0,1.0502,0.0592,-0.0592
52.5,50.0,55.0,1.0446,0.0683,-0.0683
57.5,55.0,60.0,1.0372,0.0655,-0.0655
62.5,60.0,65.0,1.1971,0.1573,-0.1573
67.5,65.0,70.0,1.021,0.0752,-0.0752
72.5,70.0,75.0,1.1824,0.138,-0.138
77.5,75.0,80.0,1.2522,0.193,-0.193
82.5,80.0,85.0,1.0436,0.1349,-0.1349
87.5,85.0,90.0,1.2047,0.2585,-0.2585
92.5,90.0,95.0,1.252,0.2057,-0.2057
97.5,95.0,100.0,1.3072,0.3129,-0.3129

#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: REGION,,,Transverse
#: SQRT(S) [GeV],,,1960.0
PT(P=3_4) [GEV],PT(P=3_4) [GEV] LOW,PT(P=3_4) [GEV] HIGH,MEAN(NAME=PT) [GEV],error +,error -
2.5,0.0,5.0,0.9673,0.0145,-0.0145
7.5,5.0,10.0,0.9829,0.0082,-0.0082
12.5,10.0,15.0,1.0289,0.0196,-0.0196
17.5,15.0,20.0,1.0545,0.0331,-0.0331
22.5,20.0,25.0,1.0852,0.0232,-0.0232
27.5,25.0,30.0,1.1182,0.0437,-0.0437
32.5,30.0,35.0,1.1319,0.0431,-0.0431
37.5,35.0,40.0,1.1472,0.0522,-0.0522
42.5,40.0,45.0,1.1457,0.0544,-0.0544
47.5,45.0,50.0,1.1768,0.0723,-0.0723
52.5,50.0,55.0,1.1994,0.0726,-0.0726
57.5,55.0,60.0,1.262,0.0997,-0.0997
62.5,60.0,65.0,1.2274,0.1044,-0.1044
67.5,65.0,70.0,1.3703,0.158,-0.158
72.5,70.0,75.0,1.466,0.2267,-0.2267
77.5,75.0,80.0,1.3262,0.1853,-0.1853
82.5,80.0,85.0,1.3275,0.2035,-0.2035
87.5,85.0,90.0,1.2584,0.1808,-0.1808
92.5,90.0,95.0,1.2718,0.1816,-0.1816
97.5,95.0,100.0,1.304,0.2085,-0.2085

