#: table_doi: 10.17182/hepdata.55734.v1/t7
#: name: Table 7
#: description: Drell-Yan events. Average lepton-pair PT v. charged particle multiplicity .

#: data_file: Table7.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: SQRT(S) [GeV],,,1960.0
MULT(P=5),MULT(P=5) LOW,MULT(P=5) HIGH,MEAN(NAME=PT) [GEV],error +,error -
0.0,-0.5,0.5,6.9235,0.209,-0.209
1.0,0.5,1.5,7.8864,0.2119,-0.2119
2.0,1.5,2.5,8.5941,0.2048,-0.2048
3.0,2.5,3.5,9.1261,0.2141,-0.2141
4.0,3.5,4.5,10.0014,0.2254,-0.2254
5.0,4.5,5.5,10.8098,0.2607,-0.2607
6.0,5.5,6.5,11.5018,0.2981,-0.2981
7.0,6.5,7.5,12.3988,0.3306,-0.3306
8.0,7.5,8.5,13.4368,0.3817,-0.3817
9.0,8.5,9.5,14.067,0.4318,-0.4318
10.0,9.5,10.5,15.0326,0.4862,-0.4862
11.0,10.5,11.5,16.677,0.6038,-0.6038
12.0,11.5,12.5,17.0335,0.7081,-0.7081
13.0,12.5,13.5,18.1498,0.8517,-0.8517
14.0,13.5,14.5,18.1478,0.9197,-0.9197
15.0,14.5,15.5,19.9677,1.1243,-1.1243
16.0,15.5,16.5,21.4081,1.4221,-1.4221
17.0,16.5,17.5,22.4072,1.6106,-1.6106
18.0,17.5,18.5,24.4405,2.0111,-2.0111
19.0,18.5,19.5,25.4838,2.1972,-2.1972
20.0,19.5,20.5,27.0603,2.6651,-2.6651
21.0,20.5,21.5,30.4126,3.5354,-3.5354
22.0,21.5,22.5,30.7424,4.2813,-4.2813
23.0,22.5,23.5,30.2746,4.2982,-4.2982
24.0,23.5,24.5,34.4506,5.5991,-5.5991
25.0,24.5,25.5,34.8412,6.3066,-6.3066
26.0,25.5,26.5,35.365,7.322,-7.322
27.0,26.5,27.5,37.3863,7.5375,-7.5375
28.0,27.5,28.5,38.0336,8.3842,-8.3842
29.0,28.5,29.5,43.5757,15.5536,-15.5536
30.0,29.5,30.5,51.6944,11.6121,-11.6121
31.0,30.5,31.5,44.3726,15.2398,-15.2398
32.0,31.5,32.5,40.0259,15.0965,-15.0965
33.0,32.5,33.5,61.3448,24.9115,-24.9115
34.0,33.5,34.5,54.2099,32.1589,-32.1589
35.0,34.5,35.5,67.7035,49.3146,-49.3146

