#: table_doi: 10.17182/hepdata.55734.v1/t8
#: name: Table 8
#: description: Drell-Yan events. Average charged particle PT v. charged particle multiplicity .

#: data_file: Table8.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: SQRT(S) [GeV],,,1960.0
MULT(P=5),MULT(P=5) LOW,MULT(P=5) HIGH,MEAN(NAME=PT) [GEV],error +,error -
1.0,0.5,1.5,0.9425,0.0368,-0.0368
2.0,1.5,2.5,0.9756,0.0183,-0.0183
3.0,2.5,3.5,1.0393,0.0265,-0.0265
4.0,3.5,4.5,1.0912,0.0171,-0.0171
5.0,4.5,5.5,1.1268,0.0231,-0.0231
6.0,5.5,6.5,1.1562,0.0156,-0.0156
7.0,6.5,7.5,1.1978,0.0205,-0.0205
8.0,7.5,8.5,1.2451,0.0243,-0.0243
9.0,8.5,9.5,1.2685,0.041,-0.041
10.0,9.5,10.5,1.281,0.0244,-0.0244
11.0,10.5,11.5,1.3155,0.0254,-0.0254
12.0,11.5,12.5,1.3519,0.033,-0.033
13.0,12.5,13.5,1.3683,0.043,-0.043
14.0,13.5,14.5,1.3704,0.0531,-0.0531
15.0,14.5,15.5,1.4098,0.0676,-0.0676
16.0,15.5,16.5,1.4456,0.056,-0.056
17.0,16.5,17.5,1.4654,0.0542,-0.0542
18.0,17.5,18.5,1.5319,0.0871,-0.0871
19.0,18.5,19.5,1.52,0.0625,-0.0625
20.0,19.5,20.5,1.566,0.0902,-0.0902
21.0,20.5,21.5,1.6045,0.0882,-0.0882
22.0,21.5,22.5,1.6132,0.1137,-0.1137
23.0,22.5,23.5,1.6212,0.1533,-0.1533
24.0,23.5,24.5,1.7406,0.2058,-0.2058
25.0,24.5,25.5,1.682,0.1576,-0.1576
26.0,25.5,26.5,1.6422,0.1658,-0.1658
27.0,26.5,27.5,1.7454,0.1724,-0.1724
28.0,27.5,28.5,1.8931,0.2087,-0.2087
29.0,28.5,29.5,1.939,0.2666,-0.2666
30.0,29.5,30.5,2.3046,0.583,-0.583
31.0,30.5,31.5,1.9352,0.3881,-0.3881
32.0,31.5,32.5,2.0959,0.3871,-0.3871
33.0,32.5,33.5,2.0989,0.333,-0.333
34.0,33.5,34.5,2.0706,0.5737,-0.5737
35.0,34.5,35.5,2.2942,0.6108,-0.6108
36.0,35.5,36.5,2.044,0.6085,-0.6085
37.0,36.5,37.5,1.7976,0.8307,-0.8307
38.0,37.5,38.5,1.9055,1.5494,-1.5494
39.0,38.5,39.5,2.8364,0.9057,-0.9057

