#: table_doi: 10.17182/hepdata.55734.v1/t9
#: name: Table 9
#: description: Drell-Yan events. Average charged particle PT  v. charged particle multiplicity for lepton-pair PT < 10 GeV.

#: data_file: Table9.yaml
#: keyword reactions: PBAR P --> LEPTON+ LEPTON- CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Drell Yan
#: keyword cmenergies: 1960.0
#: ETARAP(P=5),,,-1.0-1.0
#: M(P=3_4) GEV,,,70.0-110.0
#: PT(P=3_4) [GEV],,,< 10
#: PT(P=5) [GEV],,,> 0.5
#: RE,,,PBAR P --> LEPTON+ LEPTON- CHARGED X
#: SQRT(S) [GeV],,,1960.0
MULT(P=5),MULT(P=5) LOW,MULT(P=5) HIGH,MEAN(NAME=PT) [GEV],error +,error -
1.0,0.5,1.5,0.899,0.0316,-0.0316
2.0,1.5,2.5,0.9213,0.0143,-0.0143
3.0,2.5,3.5,0.9486,0.0287,-0.0287
4.0,3.5,4.5,0.9795,0.0138,-0.0138
5.0,4.5,5.5,0.9831,0.012,-0.012
6.0,5.5,6.5,1.0071,0.0162,-0.0162
7.0,6.5,7.5,1.0086,0.0149,-0.0149
8.0,7.5,8.5,1.0274,0.0136,-0.0136
9.0,8.5,9.5,1.0413,0.0297,-0.0297
10.0,9.5,10.5,1.045,0.0215,-0.0215
11.0,10.5,11.5,1.0514,0.0168,-0.0168
12.0,11.5,12.5,1.065,0.0231,-0.0231
13.0,12.5,13.5,1.0785,0.025,-0.025
14.0,13.5,14.5,1.0823,0.0219,-0.0219
15.0,14.5,15.5,1.0738,0.0301,-0.0301
16.0,15.5,16.5,1.0875,0.0244,-0.0244
17.0,16.5,17.5,1.1102,0.054,-0.054
18.0,17.5,18.5,1.1131,0.0514,-0.0514
19.0,18.5,19.5,1.1234,0.071,-0.071
20.0,19.5,20.5,1.132,0.0666,-0.0666
21.0,20.5,21.5,1.1333,0.0685,-0.0685
22.0,21.5,22.5,1.1529,0.1163,-0.1163
23.0,22.5,23.5,1.1644,0.1037,-0.1037
24.0,23.5,24.5,1.2336,0.1169,-0.1169
25.0,24.5,25.5,1.2839,0.3563,-0.3563
26.0,25.5,26.5,1.1819,0.1713,-0.1713
27.0,26.5,27.5,1.2031,0.1584,-0.1584
28.0,27.5,28.5,1.1647,0.0719,-0.0719
29.0,28.5,29.5,1.1715,0.1933,-0.1933

